매일,토(6/3),phone,name,목,월,수,type,일,address,화,목(6/8),금,토,일(6/4),화(6/6),월(6/5),수(6/7)
,,051-203-8275,편한장의원,"09:00 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감","09:00 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감","09:00 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감",내과,정기휴무 (매주 일요일),부산 강서구 명지오션시티4로 64,,,"09:00 - 18:30
13:00 - 14:00 휴게시간
18:15 접수마감","09:00 - 13:00
12:45 접수마감",,현충일 휴무,,
,,0507-1314-8486,명지정신건강의학과의원,"09:30 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감","09:30 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감","09:30 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감",정신건강의학과,정기휴무 (매주 일요일),"부산 강서구 명지국제5로 42 동진빌딩 6층, 명지정신건강의학과의원",,,"09:30 - 18:30
13:00 - 14:00 휴게시간
12:30, 18:00 접수마감","09:30 - 13:30
13:00 접수마감",,현충일 휴무,,
,,051-714-0800,명지더봄안과의원,,,,안과,정기휴무 (매주 일요일),부산 강서구 명지오션시티11로 66,,휴무,"08:40 - 18:00
12:40 - 14:00 휴게시간",08:40 - 13:40,,휴무,휴무,휴무
,,051-205-2080,국제치과의원,정기휴무 (매주 목요일),"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 21:00
13:00 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 명지국제11로 25 동명빌딩 4층,"10:00 - 19:00
13:00 - 14:00 휴게시간",,"10:00 - 19:00
13:00 - 14:00 휴게시간",10:00 - 14:00,,,,
"09:00 - 18:00
접기",,0507-1392-9013,자연안에병원,,,,"병원,의원",,부산 강서구 명지오션시티4로 99,,,,,,,,
,,051-205-2017,누엘의원,"10:00 - 18:15
13:00 - 14:00 휴게시간
18:00 접수마감","10:00 - 18:15
13:00 - 14:00 휴게시간
18:00 접수마감","14:00 - 18:15
18:00 접수마감",비뇨의학과,정기휴무 (매주 일요일),부산 강서구 명지국제8로 245 뉴타워상가 7층,,,"10:00 - 18:15
13:00 - 14:00 휴게시간
18:00 접수마감","09:30 - 13:15
13:00 접수마감",,현충일 휴무,,
,,051-271-7528,오션시티치과병원,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 21:00
12:30 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 명지오션시티4로 70 6층,,,"09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,,현충일 휴무,,
,,051-711-2625,국제한의원,09:30 - 19:00,09:30 - 20:00,09:30 - 20:00,한의원,정기휴무 (매주 일요일),부산 강서구 명지국제8로 243,,,09:30 - 19:00,09:15 - 14:00,,현충일 휴무,,
,,051-970-4796,녹산보건지소,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 18:00,보건지소,정보없음,부산 강서구 생곡로 17,09:00 - 18:00,,09:00 - 18:00,정보없음,,,,
,,051-205-2486,맥치과의원 명지점,14:00 - 21:00,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 명지국제5로 42 동진빌딩 5층,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:00 - 14:00,,현충일 휴무,,
,,051-202-1113,개나리소아청소년과병원,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",소아청소년과,정기휴무 (매주 일요일),"부산 강서구 명지국제8로 269 유당빌딩 4,5층","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 12:30,,,,
,,0507-1309-0365,명지더나음한의원,"14:30 - 20:00
19:30 접수마감
접기","10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감",한의원,정기휴무 (매주 일요일),부산 강서구 명지국제5로 42 402호,"10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감",,"10:00 - 20:00
13:00 - 14:30 휴게시간
12:30, 19:30 접수마감","09:30 - 13:30
13:00 접수마감",,,,
,,051-201-6700,함께웃는치과의원,10:00 - 21:00,10:00 - 19:00,10:00 - 21:00,치과,정기휴무 (매주 일요일),부산 강서구 명지국제8로 233,,,10:00 - 19:00,10:00 - 17:00,,현충일 휴무,,
,,0507-1418-2804,우리치과의원,"10:00 - 20:30
13:00 - 14:00 휴게시간","10:00 - 20:30
13:00 - 14:00 휴게시간","10:00 - 20:30
13:00 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 과학산단로306번길 10 협성·DS 엘리시안아파트,,,10:00 - 13:00,정기휴무 (매주 토요일),,현충일 휴무,,
,,051-973-2272,정지훈치과의원,"09:30 - 20:30
17:30 - 18:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",13:30 - 18:30,치과,정기휴무 (매주 일요일),부산 강서구 신호산단2로 33,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",정기휴무 (매주 토요일),,현충일 휴무,,
,,0507-1402-8275,명지본한의원,"10:00 - 19:00
13:00 - 14:30 휴게시간
접기","10:00 - 20:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",한의원,10:00 - 14:30,"부산 강서구 명지국제5로 14 서진빌딩 2,3층",,,"10:00 - 20:00
13:00 - 14:30 휴게시간",10:00 - 14:30,,현충일10:00 - 14:30,,
,,051-717-0230,명지아동병원,"09:00 - 19:00
13:00 - 14:00 휴게시간
접기","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",소아청소년과,09:00 - 13:00,부산 강서구 명지국제8로 240,,,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 16:00
13:00 - 14:00 휴게시간",,현충일09:00 - 13:00,,
,,051-202-3155,윤혜리한의원,14:00 - 18:30,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",한의원,정기휴무 (매주 일요일),부산 강서구 명지오션시티11로 74,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:30,,현충일 휴무,,
,,051-271-1056,경희청담한의원,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",한의원,정기휴무 (매주 일요일),부산 강서구 명지오션시티4로 61 이건빌딩 302호,,,"09:30 - 19:00
13:00 - 14:30 휴게시간",09:00 - 13:00,,현충일 휴무,,
,,0507-1310-7510,금빛한의원 부산점,"10:00 - 20:00
13:00 - 14:00 휴게시간
접기","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간",한의원,10:00 - 14:00,부산 강서구 명지국제8로 257 3층,,,"10:00 - 20:00
13:00 - 14:00 휴게시간",10:00 - 14:00,,현충일10:00 - 14:00,,
,,051-973-8219,편한몸의원,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",정형외과,정기휴무 (매주 일요일),부산 강서구 신호산단2로 33,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,,현충일 휴무,,
,,051-941-8866,한국미인부산배내과의원,"08:30 - 17:00
접기",08:30 - 13:00,08:30 - 13:00,내과,정보없음,부산 강서구 대저로 283-1,08:30 - 17:00,,08:30 - 13:00,08:00 - 12:00,,,,
,,051-203-8070,명지화이트치과의원,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 20:30
13:00 - 14:00 휴게시간","09:30 - 20:30
13:00 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 명지국제2로 29 성광타워 5층,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:30,,현충일 휴무,,
,,0507-1480-2875,명지엘치과의원,14:00 - 21:00,"09:30 - 21:00
12:00 - 14:00 휴게시간",09:30 - 18:30,치과,정기휴무 (매주 일요일),부산 강서구 명지국제8로 230,,,09:30 - 18:30,09:30 - 17:00,,현충일 휴무,,
,,0507-1346-7170,강서연합의원,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,"병원,의원",정기휴무 (매주 일요일),부산 강서구 대저로 266 1층,,,08:00 - 18:00,08:00 - 13:00,,현충일08:00 - 13:00,,
,,051-989-9111,신호원치과의원,"10:00 - 20:00
13:00 - 14:00 휴게시간
17:30 - 18:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간
17:30 - 18:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 신호산단2로 21,,,"10:00 - 18:00
13:00 - 14:00 휴게시간",정기휴무 (매주 토요일),,현충일 휴무,,
,,0507-1488-3637,신호부부한의원,"09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감","09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감","09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감",한의원,정기휴무 (매주 일요일),부산 강서구 신호산단2로 33 골든뷰 2층,,,"09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감","09:30 - 15:00
14:40 접수마감",,현충일 휴무,,
,,0507-1493-6622,서울편한내과의원,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,내과,정기휴무 (매주 일요일),부산 강서구 대저로 254,,,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,,현충일 휴무,,
,,0507-1425-2882,리더스치과의원,"10:00 - 20:30
13:00 - 14:30 휴게시간
17:00 - 17:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 명지국제8로 254,,,"10:00 - 19:00
13:00 - 14:30 휴게시간",10:00 - 14:00,,현충일 휴무,,
,,051-293-0375,마음에 청진기 가정의학과의원,10:00 - 20:00,10:00 - 19:00,10:00 - 19:00,가정의학과,정기휴무 (매주 일요일),부산 강서구 명지국제8로 243 미주프라자 302호,,,10:00 - 18:00,10:00 - 14:00,,현충일 휴무,,
,,051-271-2842,명지치과의원,09:30 - 20:30,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 명지오션시티4로 61 이건빌딩 301호,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:30,,현충일 휴무,,
,,051-271-7751,해바라기치과의원,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 명지오션시티4로 67,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,,현충일 휴무,,
,,0507-1359-1075,다온한의원,"09:30 - 21:00
12:30 - 14:00 휴게시간
접기","09:30 - 21:00
12:30 - 14:00 휴게시간","09:30 - 21:00
12:30 - 14:00 휴게시간",한의원,09:30 - 14:30,부산 강서구 명지국제8로 251 302호 다온한의원,,,"09:30 - 21:00
12:30 - 14:00 휴게시간",09:30 - 14:30,,현충일09:30 - 14:30,,
,,051-271-7755,기분좋은치과의원,09:30 - 20:00,09:30 - 20:00,09:30 - 18:30,치과,정기휴무 (매주 일요일),부산 강서구 명지오션시티4로 62,,,09:30 - 18:30,09:30 - 13:30,,현충일 휴무,,
,,051-271-3227,명지침례의원,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",내과,정기휴무 (매주 일요일),부산 강서구 명지새동네길1번길 32,,,"09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 12:00,,현충일 휴무,,
,,051-990-0040,연세이편한치과의원,"10:00 - 18:30
13:30 - 15:00 휴게시간
접기",정기휴무 (매주 월요일),"10:00 - 18:30
13:30 - 15:00 휴게시간",치과,"10:00 - 17:00
13:30 - 15:00 휴게시간",부산 강서구 명지국제6로 168 명지 스타필드시티 4층,,,"10:00 - 18:30
13:30 - 15:00 휴게시간","10:00 - 17:00
13:30 - 15:00 휴게시간",,"현충일10:00 - 17:00
13:30 - 15:00 휴게시간",,
,,051-973-8575,남경의원,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,내과,정기휴무 (매주 일요일),부산 강서구 공항앞길 5,,,09:00 - 18:00,09:00 - 13:00,,현충일 휴무,,
,,051-271-8808,애플민트치과의원,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 명지오션시티4로 64,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:00 - 15:00,,현충일 휴무,,
,,051-832-2875,강서하늘치과의원,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 공항로811번가길 56,,,"10:00 - 19:00
13:00 - 14:30 휴게시간",정기휴무 (매주 토요일),,현충일 휴무,,
,,051-974-2888,인제대학교부산백병원부설김해국제공항의원,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,"병원,의원",정기휴무 (매주 일요일),부산 강서구 공항진입로 108 김해국제공항국내선청사 1F,,,09:00 - 17:00,정기휴무 (매주 토요일),,현충일 휴무,,
,,051-970-2980,지사보건진료소,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 18:00,보건진료소,정보없음,부산 강서구 과학산단2로20번길 5,09:00 - 18:00,,09:00 - 18:00,정보없음,,,,
,,051-271-2875,최치과의원,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 명지새동네길1번길 32,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 12:30,,현충일 휴무,,
,,051-503-8818,명지튼튼한의원,"14:00 - 19:00
18:10 접수마감","09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감","09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감",한의원,정기휴무 (매주 일요일),부산 강서구 명지오션시티4로 70,,,"09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감","09:30 - 14:00
13:10 접수마감",,현충일 휴무,,
,,051-941-8275,신호한의원,"10:00 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감","10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",한의원,정기휴무 (매주 일요일),부산 강서구 신호산단2로 21,,,"10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","10:00 - 15:00
14:30 접수마감",,현충일 휴무,,
,,051-9710-1572,부산교도소부속의원,,,,내과,,부산 강서구 대저중앙로29번길 62 부산교도소부속의원,,,,,,,,
,,051-831-2875,다온치과의원,"08:30 - 18:30
접기",08:30 - 18:30,08:30 - 18:30,치과,정기휴무 (매주 일요일),부산 강서구 범방3로46번길 13 3층 다온치과,08:30 - 18:30,,08:30 - 18:30,09:00 - 13:00,,,,
,,051-970-4795,강동보건지소,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 18:00,보건지소,정보없음,부산 강서구 낙동북로102번길 76 강동보건지소,09:00 - 18:00,,09:00 - 18:00,정보없음,,,,
,,051-971-2875,대저치과의원,14:00 - 18:30,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 대저로 276,,,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:00,,현충일 휴무,,
,,051-973-9737,활인한의원,"09:00 - 18:30
12:30 - 14:00 휴게시간
접기","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",한의원,정기휴무 (매주 일요일),부산 강서구 공항로811번길 43,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,,,,
,,051-979-9089,르노코리아자동차부속의원,,,,내과,,부산 강서구 르노삼성대로 61,,,,,,,,
,,051-206-1075,한빛한의원,14:00 - 19:00,"09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",한의원,정기휴무 (매주 일요일),부산 강서구 명지오션시티4로 62 파빌리온빌딩 3층,,,"09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 13:30,,현충일 휴무,,
,,051-941-1002,강서요양병원,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,요양병원,정기휴무 (매주 일요일),부산 강서구 공항로811번길 1,,,09:00 - 18:00,09:00 - 13:00,,현충일 휴무,,
,,051-970-9123,삼성전기부속의원,,,,가정의학과,,부산 강서구 녹산산업중로 333,,,,,,,,
,,051-970-4797,천가보건지소,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 18:00,보건지소,정보없음,부산 강서구 성북1길 70-1,09:00 - 18:00,,09:00 - 18:00,정보없음,,,,
,,051-941-7575,태안한의원,"09:30 - 13:00
접기","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",한의원,정기휴무 (매주 일요일),부산 강서구 대저로274번길 15,,,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,,현충일09:30 - 13:00,,
,,051-970-5182,대한항공김해부속의원,,,,내과,,부산 강서구 공항진입로42번길 54,,,,,,,,
,,051-970-3411,강서구보건소 보건행정계,,,,보건소,,부산 강서구 공항로811번가길 36,,,,,,,,
,,051-970-3445,강서구보건소 민원실,,,,보건소,,부산 강서구 공항로811번가길 36,,,,,,,,
,,051-970-2926,강서보건소 감염병관리계,,,,보건소,,부산 강서구 공항로811번길 10,,,,,,,,
,,No phone number available,대저한의원,,,,한의원,,부산 강서구 대저로 285,,,,,,,,
,,051-624-7575,용마루한의원,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",한의원,정기휴무 (매주 일요일),부산 강서구 낙동남로 1042,,,"09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 17:00,,현충일 휴무,,
,,051-971-2871,이치과의원,14:00 - 18:30,"09:30 - 18:30
12:30 - 13:30 휴게시간","09:30 - 18:30
12:30 - 13:30 휴게시간",치과,정기휴무 (매주 일요일),부산 강서구 낙동북로 74,,,"09:30 - 18:30
12:30 - 13:30 휴게시간",09:30 - 13:00,,현충일 휴무,,
,,051-970-4798,가락보건지소,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 18:00,보건지소,정보없음,부산 강서구 가락대로 1476 가락동 주민센터,09:00 - 18:00,,09:00 - 18:00,정보없음,,,,
,,051-970-3481,강서구보건소 건강증진계,,,,보건소,,부산 강서구 공항로811번가길 36,,,,,,,,
,,No phone number available,가락동마을건강센터,,,,병원부속시설,,부산 강서구 가락대로 1476 가락동 주민센터,,,,,,,,
,,051-971-7623,천성보건진료소,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",보건진료소,정기휴무 (매주 일요일),부산 강서구 가덕해안로821번길 100 천성보건진료소,,,"09:00 - 18:00
12:00 - 13:00 휴게시간",정기휴무 (매주 토요일),,현충일 휴무,,
,,051-972-7335,대항보건진료소,,,,보건진료소,,부산 강서구 가덕해안로1208번가길 9 대항보건진료소,,,,,,,,
,,051-970-3421,강서구보건소 가족보건계,,,,보건소,,부산 강서구 공항로811번가길 36,,,,,,,,
,,0507-1376-5104,비움환 원외탕전,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,병원부속시설,정기휴무 (매주 일요일),부산 강서구 대저중앙로172번길 20,,,09:00 - 18:00,정기휴무 (매주 토요일),,현충일 휴무,,
,,051-970-3415,부산강서구보건소 선별진료소,"09:00 - 18:00
12:00 - 13:00 휴게시간
접기","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",선별진료소,09:00 - 13:00,부산 강서구 공항로811번길 10,,,"09:00 - 18:00
12:00 - 13:00 휴게시간",09:00 - 13:00,,현충일09:00 - 13:00,,
,,No phone number available,코로나19검사센터,,,,병원부속시설,,부산 강서구 공항진입로 108,,,,,,,,
,,051-970-3433,강서구보건소 예방의학계,,,,보건소,,부산 강서구 공항로811번가길 36,,,,,,,,
,,051-974-8449,갑을녹산병원 선별진료소,08:30 - 17:30,08:30 - 17:30,08:30 - 17:30,선별진료소,정기휴무 (매주 일요일),부산 강서구 녹산산단321로 24-8,,,08:30 - 17:30,08:30 - 12:30,,현충일 휴무,,
,,055-328-0059,더프라임병원,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",산부인과,09:30 - 12:30,경남 김해시 경원로55번길 12,,,"09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,,현충일09:30 - 12:30,,
,,1599-8275,부산본병원,,,,"병원,의원",,부산 사하구 승학로 8,,,,,,,,
,,055-552-7582,희망병원,,,,"병원,의원",,경남 창원시 진해구 용원로 15 희망병원,,,,,,,,
,,051-334-8899,열린이비인후과의원,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",이비인후과,정기휴무 (매주 일요일),부산 북구 백양대로 1202 4층 열린이비인후과,,,"09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,,현충일 휴무,,
,,051-330-5000,미래로병원,,,,산부인과,,부산 북구 금곡대로 15,,,,,,,,
,,055-322-6300,아름다운피부과의원,"09:05 - 17:45
12:30 - 14:00 휴게시간
접기","09:05 - 17:45
12:30 - 14:00 휴게시간","09:05 - 17:45
12:30 - 14:00 휴게시간",피부과,정기휴무 (매주 일요일),경남 김해시 가락로 23 김밥천국,"09:05 - 17:45
12:30 - 14:00 휴게시간",,"09:05 - 17:45
12:30 - 14:00 휴게시간","08:40 - 15:00
12:40 - 13:30 휴게시간",,,,
,,051-200-9999,미래아이여성병원,,,,산부인과,,부산 사하구 낙동남로 1388,,,,,,,,
,,055-337-7582,에스피부과의원,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",피부과,정기휴무 (매주 일요일),경남 김해시 내외중앙로 84 서울메디컬센터 6층,,,"09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 14:00,,현충일 휴무,,
,,055-330-8888,의료법인숭인의료재단 김해복음병원,,,,종합병원,,경남 김해시 활천로 33 김해복음병원,,,,,,,,
,,051-208-5566,삼성내과엠알영상의학과의원,"08:00 - 18:30
13:00 - 14:00 휴게시간","08:00 - 18:30
13:00 - 14:00 휴게시간","08:00 - 18:30
13:00 - 14:00 휴게시간",내과,정기휴무 (매주 일요일),부산 사하구 낙동남로 1392,,,"08:00 - 18:30
13:00 - 14:00 휴게시간",08:00 - 13:00,,현충일 휴무,,
