병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감
사상구보건소,보건소,051-310-4791,부산 사상구 학감대로 242,"09:00 - 18:00
12:00 - 13:00 휴게시간",,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
삼성본정형외과의원,정형외과,051-711-0280,부산 사상구 가야대로 276 M-suare 메디컬센터 8층,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),09:00 - 18:30,12:30 - 14:00 ,
성모이비인후과의원,이비인후과,051-316-1117,부산 사상구 낙동대로 786,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),,,
예인의원,내과,051-317-7855,부산 사상구 광장로 17 이마트,"10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간",,"10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간
접기","10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간","10:00 - 17:00
13:00 - 14:00 휴게시간","10:00 - 17:00
13:00 - 14:00 휴게시간",,,
좋은삼선병원,종합병원,051-322-0900,부산 사상구 가야대로 326,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
명인내과의원,내과,051-321-2119,부산 사상구 낙동대로 790 신우프라자,"09:00 - 18:30
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
안호식소아청소년과의원,소아청소년과,051-311-1114,부산 사상구 가야대로 274,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정보없음,09:00 - 18:00,13:00 - 14:00 ,
필업비뇨기과의원,비뇨의학과,051-317-7582,부산 사상구 광장로 77,"09:30 - 18:00
12:45 - 14:00 휴게시간",,"09:30 - 18:00
12:45 - 14:00 휴게시간","09:30 - 18:00
12:45 - 14:00 휴게시간","09:30 - 18:00
12:45 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),,,
보훈공단 부산보훈병원,보훈병원,1800-3100,부산 사상구 백양대로 420,"09:00 - 17:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
선샤인피부과의원,피부과,0507-1495-3210,부산 사상구 가야대로 276 엘리트치과병원건물 3층 선샤인피부과의원,"09:30 - 20:00
13:00 - 14:30 휴게시간",,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 20:00
13:00 - 14:30 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
박만규피부과의원,피부과,0507-1492-5445,부산 사상구 가야대로 272,"09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,"09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:10 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,
가본이비인후과의원,이비인후과,051-325-5075,부산 사상구 엄궁북로 22,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
우리탑치과의원,치과,0507-1420-2804,부산 사상구 가야대로 290 4층,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
사상늘편한재활의학과의원,정형외과,0507-1338-7577,"부산 사상구 사상로 194 2층, 8층 사상늘편한재활의학과의원","09:00 - 19:00
13:00 - 14:00 휴게시간",,14:00 - 20:30,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
부산탑이비인후과의원,이비인후과,051-710-7655,부산 사상구 가야대로 276 M-square 메디컬센터 5층 501호 (주례동),"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간
접기","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
참사랑의원,가정의학과,051-304-7584,부산 사상구 덕상로 14 대원빌딩,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
새봄산부인과의원,산부인과,051-311-1331,부산 사상구 광장로 77 4층,"09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",,"09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:30 - 15:30
13:00 - 14:00 휴게시간
15:20 접수마감",정기휴무 (매주 일요일),,,
서정출이비인후과의원,이비인후과,051-316-8275,부산 사상구 운산로 52,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
킴스가정의학과의원,가정의학과,051-323-7577,부산 사상구 대동로 107 명정빌딩 2층,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 토요일),"09:00 - 17:00
13:00 - 14:00 휴게시간",,,
연세윤내과의원,내과,051-321-1231,부산 사상구 사상로 200 엠시티빌딩 4층,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,09:00 - 13:00,,,
임용수이비인후과의원,이비인후과,051-322-9937,부산 사상구 대동로 98 학장반도보라타운,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
마린플란트치과의원,치과,051-322-3332,"부산 사상구 사상로 194 괘법동 메디컬센터 4층, 5층","09:30 - 19:00
12:30 - 14:00 휴게시간",,"09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 14:00,09:30 - 14:00,,,
셀빙강내과의원,내과,051-325-8275,부산 사상구 사상로 231,"09:00 - 17:30
13:00 - 14:00 휴게시간","09:00 - 17:30
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 17:30
13:00 - 14:00 휴게시간
접기","09:00 - 17:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),09:00 - 17:30,13:00 - 14:00 ,
큰솔병원,"병원,의원",051-325-9700,부산 사상구 대동로 141,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간
접기","09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),09:00 - 18:00,12:30 - 13:30 ,
부영병원,"병원,의원",051-320-6800,부산 사상구 학감대로123번길 76,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
채움치과의원,치과,051-321-2875,부산 사상구 광장로 76 4층,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",,정기휴무 (매주 일요일),,,
우리병원,"병원,의원",051-323-6613,부산 사상구 사상로 237,"09:00 - 17:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 20:00
12:30 - 13:30 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,
좋은성모안과의원,안과,051-936-6000,부산 사상구 백양대로 886 정예독서실 4층,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간",14:00 - 19:00,"09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
나비산부인과의원,산부인과,051-313-3321,부산 사상구 사상로 236 재원메디칼 4층,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
이건주이비인후과의원,이비인후과,051-324-2458,부산 사상구 백양대로 884 우신모라아파트,"09:30 - 18:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 12:30,"09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),,,
사상늘편한재활의학과의원,정형외과,0507-1338-7577,"부산 사상구 사상로 194 2층, 8층 사상늘편한재활의학과의원","09:00 - 19:00
13:00 - 14:00 휴게시간",,14:00 - 20:30,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
부산정형외과의원,정형외과,051-303-0039,부산 사상구 사상로 325 부산정형외과,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","09:00 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),,,
주례성모안과의원,안과,0507-1348-1920,부산 사상구 가야대로 276 엠스퀘어메디컬 9층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
큰내과의원,내과,051-321-1117,부산 사상구 광장로 77,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 15:30
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),,,
미래어린이병원,소아청소년과,051-313-1717,"부산 사상구 낙동대로 790 3층, 4층, 7층 미래어린이병원","09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감",,"09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감","09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감
접기","09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감","09:00 - 16:00
13:00 - 14:00 휴게시간
15:30 접수마감","09:00 - 13:00
12:30 접수마감",,,
센텀안과의원,안과,051-315-9985,부산 사상구 사상로 236,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),,,
박시영이비인후과의원,이비인후과,051-315-6316,부산 사상구 사상로 246,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
김창영치과의원,치과,051-325-2828,부산 사상구 백양대로 903 김창영치과의원,"10:00 - 18:30
13:00 - 14:30 휴게시간",,"10:00 - 18:30
13:00 - 15:00 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),,,
강한의원,한의원,0507-1400-8300,부산 사상구 가야대로282번길 8,09:00 - 20:00,,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,"09:00 - 13:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),,,
애플의원,피부과,0507-1485-0366,부산 사상구 사상로 201 애플아울렛별관5층,09:30 - 16:00,,09:30 - 16:00,09:30 - 16:00,09:30 - 16:00,09:30 - 13:30,정기휴무 (매주 일요일),,,
화인정형외과의원,정형외과,051-323-8200,부산 사상구 낙동대로 790 서울약국,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간",14:00 - 18:30,"09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
현백의료재단 사상고려병원,"병원,의원",051-301-8275,부산 사상구 사상로 282,09:00 - 18:00,,09:00 - 18:00,09:00 - 19:00,09:00 - 18:00,09:00 - 15:00,정기휴무 (매주 일요일),,,
세인트치과의원,치과,051-316-1066,부산 사상구 사상로 200 M시티빌딩 6층 세인트치과의원,"10:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","10:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","10:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","10:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","11:00 - 15:00
14:30 접수마감","10:10 - 17:00
13:00 - 14:00 휴게시간
16:30 접수마감",정기휴무 (매주 일요일),10:10 - 19:00,13:00 - 14:00 ,18:30
하나메디칼의원,내과,051-302-3307,부산 사상구 사상로 481,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간
접기",09:00 - 13:00,정기휴무 (매주 토요일),09:00 - 17:00,09:00 - 18:30,13:00 - 14:00 ,
마음튼튼정신건강의학과의원,정신건강의학과,0507-1377-2711,부산 사상구 사상로 194 9층,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,"11:00 - 21:00
13:00 - 14:00 휴게시간
20:30 접수마감","09:00 - 13:00
12:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),,,
박지현산부인과의원,산부인과,051-328-3232,부산 사상구 가야대로 272,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
명진한의원,한의원,051-710-9088,"부산 사상구 가야대로 290 2, 3층","09:00 - 20:00
12:30 - 14:00 휴게시간",,"09:00 - 20:00
12:30 - 14:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간
접기","09:00 - 20:00
12:30 - 14:00 휴게시간",09:00 - 14:00,09:00 - 14:00,,,
주례참조은의원,내과,051-316-0875,부산 사상구 냉정로 123,09:00 - 19:00,09:00 - 19:00,09:00 - 18:00,09:00 - 19:00,09:00 - 18:00,09:00 - 14:00,정보없음,09:00 - 19:00,,
맑은유비뇨기과의원,비뇨의학과,051-324-2481,부산 사상구 낙동대로 786 애진빌딩 502호,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간",14:00 - 19:00,"09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
참좋은정형외과의원,정형외과,0507-1310-7587,부산 사상구 백양대로 893 궁전빌딩 402호 참좋은 정형외과의원,08:30 - 19:00,,08:30 - 19:00,08:30 - 19:00,08:30 - 19:00,08:30 - 13:00,정기휴무 (매주 일요일),,,
신세계한방병원,한의원,051-327-1199,부산 사상구 사상로 174,09:00 - 20:00,,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 15:00,09:00 - 15:00,,,
봄내과의원,내과,051-715-5210,부산 사상구 가야대로 276,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간",정기휴무 (매주 목요일),"09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
김대영내과의원,내과,051-312-7588,부산 사상구 가야대로 274,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
퍼스트이비인후과의원,이비인후과,051-711-5522,부산 사상구 사상로 236 재원메디컬센터 3층,"08:30 - 21:00
13:00 - 14:00 휴게시간",,"08:30 - 21:00
13:00 - 14:00 휴게시간","08:30 - 21:00
13:00 - 14:00 휴게시간","08:30 - 21:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
나상옥신경과의원,신경과,051-323-6226,부산 사상구 가야대로 274,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
속편한희망내과의원,내과,051-715-7996,"부산 사상구 낙동대로 780 2, 3층","08:30 - 18:30
13:00 - 14:00 휴게시간",,"08:30 - 18:30
13:00 - 14:00 휴게시간","08:30 - 18:30
13:00 - 14:00 휴게시간","08:30 - 18:30
13:00 - 14:00 휴게시간",08:30 - 13:30,정기휴무 (매주 일요일),,,
송비뇨기과의원,비뇨의학과,051-323-8979,부산 사상구 가야대로 278-1 2층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
우리탑치과의원,치과,0507-1420-2804,부산 사상구 가야대로 290 4층,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
학장제일한의원,한의원,051-316-7975,부산 사상구 대동로 95 3층 학장제일한의원,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 13:00
접기","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
김이태소아청소년과의원,소아청소년과,051-316-7271,부산 사상구 사상로 252 김이태소아과의원,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
좋은부산요양병원,요양병원,051-326-0900,부산 사상구 학감대로39번길 67,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,09:00 - 18:00,,
좋은삼선병원 응급의료센터,응급실,051-310-9109,부산 사상구 가야대로 326,,,,,,,,,,
강남비뇨의학과의원,비뇨의학과,051-316-1175,부산 사상구 사상로 194 괘법동 메디컬센터 12층,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,"09:30 - 18:30
13:00 - 14:00 휴게시간
접기","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),09:30 - 18:30,13:00 - 14:00 ,
양영선내과의원,내과,051-328-7890,부산 사상구 가야대로 272 메디칼빌딩 5층,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
사상사랑성모안과의원,안과,051-314-0775,부산 사상구 사상로 200,,,10:00 - 12:30,"10:00 - 18:00
12:30 - 13:30 휴게시간","10:00 - 18:00
12:30 - 13:30 휴게시간",10:00 - 12:30,정기휴무 (매주 일요일),,,
우리항외과의원,"대장,항문과",051-323-6612,부산 사상구 사상로 237,"09:30 - 18:15
12:30 - 13:30 휴게시간
18:00 접수마감","09:30 - 18:15
12:30 - 13:30 휴게시간
18:00 접수마감","09:30 - 18:15
12:30 - 13:30 휴게시간
18:00 접수마감","09:30 - 15:00
14:45 접수마감","09:30 - 18:15
12:30 - 13:30 휴게시간
18:00 접수마감","09:30 - 14:00
13:45 접수마감",정보없음,09:30 - 18:15,12:30 - 13:30 ,18:00
토닥토닥한의원,한의원,0507-1477-8234,부산 사상구 사상로 194 3층,"09:00 - 21:00
12:30 - 14:00 휴게시간",,"09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 17:00
12:30 - 14:00 휴게시간","09:00 - 17:00
12:30 - 14:00 휴게시간",,,
부산시립정신병원,정신건강의학과,051-312-2288,부산 사상구 학감대로39번길 104-36 부산시립신경정신병원,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
소담한의원,한의원,051-314-4314,부산 사상구 대동로 106 목화아파트상가101호,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","14:00 - 19:00
접기","09:30 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
