병원종류,병원이름,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
피부과,바로그의원 서면역,0507-1449-4433,"부산 부산진구 중앙대로691번길 9 2층, 3층","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 21:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 21:00
13:00 - 14:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),"10:00 - 19:00
10:00 - 21:00
10:00 - 19:00
10:00 - 19:00
10:00 - 21:00
10:00 - 15:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
비뇨의학과,유로진남성의원 부산,0507-1408-7717,부산 부산진구 서면로 74 아이온시티 7층 702호,10:00 - 18:00,,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 18:00

10:00 - 18:00
10:00 - 18:00
10:00 - 18:00
10:00 - 14:00
정기휴무 (매주 일요일)",,,매주 일요일
피부과,바노바기의원 부산,051-711-6508,"부산 부산진구 서면로 74 아이온시티빌딩 10층, 18층","10:00 - 20:00
13:00 - 13:30 휴게시간
12:30, 19:30 접수마감",,,"10:00 - 20:00
13:00 - 13:30 휴게시간
12:30, 19:30 접수마감","10:00 - 20:00
13:00 - 13:30 휴게시간
12:30, 19:30 접수마감","10:00 - 16:00
15:30 접수마감",정기휴무 (매주 일요일),"10:00 - 20:00


10:00 - 20:00
10:00 - 20:00
10:00 - 16:00
정기휴무 (매주 일요일)",13:00 - 13:30 ,15:30,매주 일요일
이비인후과,굿모닝이비인후과의원,051-987-7575,"부산 부산진구 중앙대로 669 한성빌딩 2, 3층","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,,,"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30


",13:00 - 14:00 ,,
안과,하이뷰안과의원,0507-1426-0285,"부산 부산진구 가야대로 767-1 원광메디컬센터 2, 3층","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",정기휴무 (매주 수요일),"09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 16:00,정기휴무 (매주 일요일),"09:00 - 18:00
09:00 - 18:00
정기휴무 (매주 수요일)
09:00 - 18:00
09:00 - 19:00
09:00 - 16:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 수요일
마취통증의학과,기운찬마취통증의학과의원,0507-1405-8765,부산 부산진구 중앙대로 751 부전메디칼플라자 3층,"09:00 - 19:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 21:00
09:00 - 19:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
내과,더좋은에스의원,051-817-0011,부산 부산진구 서면로 25 서면삼한골든뷰 11F,,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 16:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"

10:00 - 19:00
10:00 - 19:00
10:00 - 19:00
10:00 - 16:00
정기휴무 (매주 일요일)",,,매주 일요일
한의원,하늘마음한의원 부산서면,051-816-8575,부산 부산진구 중앙대로 712,"10:00 - 18:00
13:00 - 14:00 휴게시간",,정기휴무 (매주 수요일),"10:00 - 20:00
13:00 - 14:30 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),"10:00 - 18:00

정기휴무 (매주 수요일)
10:00 - 20:00
10:00 - 18:00
10:00 - 15:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 수요일
성형외과,뉴페이스의원,0507-1443-2882,부산 부산진구 동천로 73 3층,10:00 - 19:00,,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 15:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 19:00
10:00 - 19:00
10:00 - 19:00
10:00 - 15:00
정기휴무 (매주 일요일)",,,매주 일요일
정형외과,시카고정형외과의원,051-715-0275,부산 부산진구 중앙대로692번길 37 1층,"09:00 - 21:00
13:00 - 14:00 휴게시간",,"09:00 - 21:00
13:00 - 14:00 휴게시간","09:00 - 21:00
13:00 - 14:00 휴게시간
접기","09:00 - 21:00
13:00 - 14:00 휴게시간",09:00 - 18:00,정기휴무 (매주 일요일),"09:00 - 21:00

09:00 - 21:00
09:00 - 21:00
09:00 - 21:00
09:00 - 18:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
피부과,예쁨주의쁨의원 부산,051-807-3400,부산 부산진구 서면로 74 15층,"10:00 - 20:00
19:00 접수마감","10:00 - 20:00
19:00 접수마감","10:00 - 20:00
19:00 접수마감","10:00 - 20:00
19:00 접수마감
접기","10:00 - 20:00
19:00 접수마감","10:00 - 17:00
16:00 접수마감","11:00 - 17:00
16:00 접수마감","10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 17:00
11:00 - 17:00",19:00 접수마감,19:00,
성형외과,뉴라인성형외과의원,0507-1442-0101,부산 부산진구 부전로66번길 40 뉴라인성형외과의원,10:00 - 19:00,,10:00 - 19:00,10:00 - 19:00,10:00 - 19:00,10:00 - 17:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 19:00
10:00 - 19:00
10:00 - 19:00
10:00 - 17:00
정기휴무 (매주 일요일)",,,매주 일요일
피부과,고운세상 김양제장봉석피부과의원,051-805-1004,부산 부산진구 중앙대로 686 경암빌딩 5층,"09:30 - 19:00
13:00 - 14:30 휴게시간",,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간
접기","09:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 15:30,정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
09:30 - 19:00
09:30 - 19:00
09:30 - 15:30
정기휴무 (매주 일요일)",13:00 - 14:30 ,,매주 일요일
이비인후과,핑이비인후과 신경과의원,051-711-7875,"부산 부산진구 가야대로 785 서면 인제메디컬센터 신관 2층, 3층","09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",08:30 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
08:30 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
한의원,존스킨한의원 서면점,051-802-3200,부산 부산진구 서면로 47,"14:00 - 21:00
19:30 접수마감",,"14:00 - 21:00
19:30 접수마감",정기휴무 (매주 목요일),"14:00 - 21:00
19:30 접수마감","10:00 - 17:00
13:00 - 14:00 휴게시간
11:30, 15:30 접수마감",정기휴무 (매주 일요일),"14:00 - 21:00

14:00 - 21:00
정기휴무 (매주 목요일)
14:00 - 21:00
10:00 - 17:00
정기휴무 (매주 일요일)",19:30 접수마감,19:30,매주 목요일
안과,아이시티안과의원,051-817-0006,부산 부산진구 중앙대로 686 경암빌딩 6층,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 13:00,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 20:00
13:00 - 14:30 휴게시간","09:30 - 18:00
13:00 - 14:30 휴게시간",정기휴무 (매주 일요일),"09:30 - 19:00
09:30 - 19:00
09:30 - 13:00
09:30 - 19:00
09:30 - 20:00
09:30 - 18:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,,매주 일요일
피부과,에이지의원,0507-1404-5524,"부산 부산진구 중앙대로 745-1 에이지빌딩 2, 3층",10:00 - 19:00,10:00 - 21:00,10:00 - 19:00,"10:00 - 19:00
접기",10:00 - 19:00,10:00 - 15:00,정기휴무 (매주 일요일),"10:00 - 19:00
10:00 - 21:00
10:00 - 19:00
10:00 - 19:00
10:00 - 19:00
10:00 - 15:00
정기휴무 (매주 일요일)",,,매주 일요일
이비인후과,열린이비인후과의원,0507-1379-6601,부산 부산진구 중앙대로 700 순생빌딩 7층,"09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감",,"09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,12:30,매주 일요일
치과,디지털아트치과의원,051-515-8267,부산 부산진구 부전로 79 동아빌딩 1-2층,10:00 - 18:00,,10:00 - 18:00,"10:00 - 18:00
접기",10:00 - 18:00,10:00 - 18:00,정기휴무 (매주 일요일),"10:00 - 18:00

10:00 - 18:00
10:00 - 18:00
10:00 - 18:00
10:00 - 18:00
정기휴무 (매주 일요일)",,,매주 일요일
안과,굿모닝백이안과의원,0507-1397-0214,"부산 부산진구 중앙대로 724 하나금융프라자 3층, 6층, 7층, 8층",09:30 - 18:00,,09:30 - 18:00,"09:30 - 18:00
접기",09:30 - 18:00,09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
치과,스마트e치과의원,051-714-1123,부산 부산진구 중앙대로 700 순생빌딩 6층,"09:30 - 19:00
13:00 - 14:30 휴게시간",,"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 21:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
09:30 - 21:00
09:30 - 19:00
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,,매주 일요일
한방병원,메타한방병원,0507-1356-7571,부산 부산진구 중앙대로 653 DR에코시티 2~5층,,,,,,,,"





",,,
안과,누네빛안과의원,051-810-5678,부산 부산진구 부전로 77 누네메디타워 7~13층,09:30 - 19:00,,09:30 - 19:00,09:30 - 19:00,09:30 - 19:00,08:30 - 14:00,정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
09:30 - 19:00
09:30 - 19:00
08:30 - 14:00
정기휴무 (매주 일요일)",,,매주 일요일
피부과,오라클피부과의원 부산서면점,051-802-8759,부산 부산진구 가야대로 784,"10:00 - 19:00
13:00 - 14:00 휴게시간",,"10:00 - 19:00
13:00 - 14:00 휴게시간",14:00 - 19:00,"10:00 - 19:00
13:00 - 14:00 휴게시간",09:30 - 16:00,정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 19:00
14:00 - 19:00
10:00 - 19:00
09:30 - 16:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
피부과,부산맥스웰피부과의원,051-806-5824,부산 부산진구 서면로 74 아이온시티 12층,"09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",,"09:30 - 21:00
13:00 - 14:00 휴게시간
20:30 접수마감","09:30 - 21:00
13:00 - 14:00 휴게시간
20:30 접수마감","09:30 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","09:00 - 16:00
13:00 - 14:00 휴게시간
15:30 접수마감",정기휴무 (매주 일요일),"09:30 - 19:30

09:30 - 21:00
09:30 - 21:00
09:30 - 19:30
09:00 - 16:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
피부과,리쥬브포맨의원,0507-1461-0172,부산 부산진구 중앙대로 747 2층,"14:00 - 21:00
16:30 - 17:00 휴게시간",,"14:00 - 21:00
16:30 - 17:00 휴게시간","11:00 - 19:00
13:00 - 14:00 휴게시간","14:00 - 21:00
16:30 - 17:00 휴게시간","10:00 - 16:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"14:00 - 21:00

14:00 - 21:00
11:00 - 19:00
14:00 - 21:00
10:00 - 16:00
정기휴무 (매주 일요일)",16:30 - 17:00 ,,매주 일요일
이비인후과,메디칼이비인후과의원,051-809-7700,부산 부산진구 가야대로 767-1 메디칼이비인후과,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","14:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
14:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
성형외과,갤럭시성형외과의원,0507-1496-1242,"부산 부산진구 서면로68번길 1 노블레스타워 6층, 9층","10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",,"10:00 - 20:00
13:00 - 14:00 휴게시간
19:30 접수마감","10:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","10:00 - 20:00
13:00 - 14:00 휴게시간
19:30 접수마감","10:00 - 16:00
15:30 접수마감",정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 20:00
10:00 - 19:00
10:00 - 20:00
10:00 - 16:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,15:30,매주 일요일
성형외과,BS더바디성형외과의원,051-818-9300,부산 부산진구 서면로 51,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 17:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 17:00
정기휴무 (매주 일요일)",,,매주 일요일
성형외과,하늘성형외과의원,051-806-0090,부산 부산진구 서면로 62-1 에이스메디칼타워 3F~10F,10:00 - 19:00,,10:00 - 19:00,"10:00 - 19:00
접기",10:00 - 19:00,"10:00 - 17:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"10:00 - 19:00

10:00 - 19:00
10:00 - 19:00
10:00 - 19:00
10:00 - 17:00
정기휴무 (매주 일요일)",,,매주 일요일
피부과,미앤미의원 부산서면역,051-807-1175,부산 부산진구 중앙대로 708 파이낸스센터 14층 미앤미의원 부산서면역,"11:00 - 20:30
13:00 - 14:30 휴게시간",,"11:00 - 20:30
13:00 - 14:30 휴게시간","11:00 - 20:30
13:00 - 14:30 휴게시간","11:00 - 20:30
13:00 - 14:30 휴게시간",11:00 - 16:30,정기휴무 (매주 일요일),"11:00 - 20:30

11:00 - 20:30
11:00 - 20:30
11:00 - 20:30
11:00 - 16:30
정기휴무 (매주 일요일)",13:00 - 14:30 ,,매주 일요일
안과,굿모닝성모안과의원,051-809-3131,부산 부산진구 새싹로 2 KB국민은행빌딩 5~7층,09:00 - 18:00,,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
피부과,리즈온의원 부산,051-987-0101,부산 부산진구 가야대로 783 성원메디컬빌딩 15층,"10:00 - 20:00
13:00 - 14:00 휴게시간",,"10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간",10:00 - 16:00,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 20:00
10:00 - 20:00
10:00 - 20:00
10:00 - 16:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
피부과,리뉴미피부과의원 부산서면역,051-804-7553,부산 부산진구 가야대로 769 ABC메디컬센터 6층 리뉴미피부과의원 부산서면역,"10:00 - 20:00
13:00 - 14:00 휴게시간",,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간","09:30 - 16:00
13:00 - 14:00 휴게시간","09:30 - 16:00
13:00 - 14:00 휴게시간","10:00 - 20:00

10:00 - 19:00
10:00 - 19:00
10:00 - 20:00
09:30 - 16:00
09:30 - 16:00",13:00 - 14:00 ,,
"병원,의원",하이유외과성형외과의원,0507-1403-5133,"부산 부산진구 서면로 48 9, 10층",08:30 - 22:30,,08:30 - 15:00,08:30 - 22:30,08:30 - 22:30,08:30 - 15:00,정기휴무 (매주 일요일),"08:30 - 22:30

08:30 - 15:00
08:30 - 22:30
08:30 - 22:30
08:30 - 15:00
정기휴무 (매주 일요일)",,,매주 일요일
