병원종류,병원이름,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
한의원,화목한의원,0507-1309-2538,부산 수영구 연수로 421 1층,"09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 16:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 16:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
외과,미담유외과의원,051-754-6660,부산 수영구 수영로 675 11층,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
09:30 - 20:00
09:30 - 18:30
09:30 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
피부과,바라봄의원,0507-1381-7787,부산 수영구 과정로 63 2층,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감",,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","14:00 - 20:00
19:50 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:30 - 14:00
13:50 접수마감",정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
14:00 - 20:00
09:30 - 18:30
09:30 - 14:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,19:50,매주 일요일
정신건강의학과,수영봄정신건강의학과의원,051-711-7510,부산 수영구 수영로 669 신세계메디칼센터 5층 501호,09:30 - 19:00,,09:30 - 13:00,"09:30 - 20:00
12:30 - 14:00 휴게시간",09:30 - 19:00,09:30 - 14:00,정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 13:00
09:30 - 20:00
09:30 - 19:00
09:30 - 14:00
정기휴무 (매주 일요일)",,,매주 일요일
치과,성분도치과병원,051-752-9011,부산 수영구 수영로 501 성분도치과병원,09:00 - 17:30,,09:00 - 17:30,09:00 - 19:00,09:00 - 17:30,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 17:30

09:00 - 17:30
09:00 - 19:00
09:00 - 17:30
09:00 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
한의원,세방한의원,051-751-1145,부산 수영구 연수로 415 2층 세방한의원,"09:30 - 18:00
13:00 - 14:00 휴게시간
17:50 접수마감",,"09:30 - 18:00
13:00 - 14:00 휴게시간
17:50 접수마감",정기휴무 (매주 목요일),"09:30 - 18:00
13:00 - 14:00 휴게시간
17:50 접수마감","09:30 - 14:00
13:50 접수마감",정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
정기휴무 (매주 목요일)
09:30 - 18:00
09:30 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,13:50,매주 목요일
정형외과,이광재정형외과의원,051-625-7878,부산 수영구 황령대로 493 성보빌딩,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간
접기","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
내과,건강드림내과의원,051-759-9885,부산 수영구 수영로 690-5 메디세움빌딩 11층,09:00 - 17:30,,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 17:30

09:00 - 17:30
09:00 - 17:30
09:00 - 17:30
09:00 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
안과,밝은김안과의원,051-612-6116,부산 수영구 수영로 379,"09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 13:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
피부과,백천피부과의원,0507-1431-1100,부산 수영구 수영로 699 301호,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",14:00 - 18:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
14:00 - 18:30
09:30 - 18:30
09:30 - 14:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
정형외과,제일정형외과의원,051-758-9911,"부산 수영구 수영로 588 지하1층, 지상 1,2,5층","09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감",,"09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
12:30 - 14:00 휴게시간
17:30 접수마감","09:00 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,12:30,매주 일요일
내과,자혜내과의원,051-759-0284,부산 수영구 과정로 60 자혜빌딩 2층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
이비인후과,이익재이비인후과의원,051-753-4450,부산 수영구 수영로 592 2층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
내과,김성준내과의원,0507-1421-8016,부산 수영구 수영로 654 4층,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간
접기","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
치과,세종치과의원,051-1544-5155,부산 수영구 수영로 675 큐비메디컬센터 7층~10층,09:30 - 19:00,,09:30 - 21:00,09:30 - 19:00,09:30 - 19:00,09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 21:00
09:30 - 19:00
09:30 - 19:00
09:30 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
피부과,신세계피부과의원,051-753-9911,부산 수영구 수영로 669 신세계메디컬센터 6층,"09:30 - 18:30
13:00 - 14:00 휴게시간",,14:00 - 18:30,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),"09:30 - 18:30

14:00 - 18:30
09:30 - 18:30
09:30 - 18:30
09:30 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
마취통증의학과,참편한마취통증의학과의원,0507-1438-8875,부산 수영구 수영로 582,09:00 - 18:30,09:00 - 19:00,09:00 - 12:30,"09:00 - 18:30
접기",09:00 - 18:30,09:00 - 13:30,정보없음,"09:00 - 18:30
09:00 - 19:00
09:00 - 12:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:30
정보없음",,,
정형외과,메트로적추병원,051-626-0250,부산 수영구 수영로 390-1 메트로적추병원,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
한의원,뿌리한의원,051-621-0075,부산 수영구 수영로 386-1 7층,"13:00 - 21:00
17:30 - 18:30 휴게시간",,"10:00 - 18:00
13:00 - 14:00 휴게시간","13:00 - 21:00
17:30 - 18:30 휴게시간","13:00 - 21:00
17:30 - 18:30 휴게시간","09:30 - 16:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"13:00 - 21:00

10:00 - 18:00
13:00 - 21:00
13:00 - 21:00
09:30 - 16:00
정기휴무 (매주 일요일)",17:30 - 18:30 ,,매주 일요일
이비인후과,권우영이비인후과의원,051-754-9889,부산 수영구 연수로 419,"10:00 - 18:30
13:00 - 14:00 휴게시간",,10:00 - 13:00,"10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간",10:00 - 13:00,정기휴무 (매주 일요일),"10:00 - 18:30

10:00 - 13:00
10:00 - 18:30
10:00 - 18:30
10:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
정신건강의학과,백정신건강의학과의원,051-759-7559,부산 수영구 수영로 675 큐비메디컬센터 12층,"09:00 - 18:30
18:00 접수마감",,"09:00 - 20:00
19:30 접수마감","09:00 - 20:00
19:30 접수마감","09:00 - 18:30
18:00 접수마감","09:00 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 20:00
09:00 - 20:00
09:00 - 18:30
09:00 - 14:00
정기휴무 (매주 일요일)",18:00 접수마감,19:30,매주 일요일
가정의학과,우리가정의학과의원,051-757-4020,부산 수영구 광안해변로 431 현소빌딩 2층,09:00 - 18:30,,09:00 - 17:00,09:00 - 18:30,09:00 - 18:30,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 17:00
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
내과,남태수내과의원,051-757-7579,부산 수영구 수영로 681,09:00 - 18:30,,09:00 - 18:30,09:00 - 18:30,09:00 - 18:30,09:00 - 13:30,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:30
정기휴무 (매주 일요일)",,,매주 일요일
안과,신세계안과의원,051-758-3497,부산 수영구 수영로 669 신세계메디컬센터,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 13:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
피부과,뉴의원,051-625-5757,부산 수영구 수영로 393 4층,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",14:00 - 19:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
14:00 - 19:30
09:30 - 18:30
09:30 - 13:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
치과,이마음치과의원,051-912-2875,부산 수영구 수영로 386 3층,"09:30 - 18:30
13:00 - 14:30 휴게시간",,"09:30 - 18:30
13:00 - 14:30 휴게시간",14:30 - 18:30,"09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:30

09:30 - 18:30
14:30 - 18:30
09:30 - 18:30
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,,매주 일요일
정형외과,삼성정형외과의원,051-754-8710,부산 수영구 수영로 636 기린빌딩,"09:00 - 18:30
13:00 - 14:30 휴게시간",,"09:00 - 18:30
13:00 - 14:30 휴게시간","09:00 - 18:30
13:00 - 14:30 휴게시간","09:00 - 18:30
13:00 - 14:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,,매주 일요일
한의원,소생한의원,051-612-1010,부산 수영구 수영로 384,09:00 - 20:00,,09:00 - 20:00,"09:00 - 20:00
접기",09:00 - 20:00,09:00 - 14:00,14:00 - 18:00,"09:00 - 20:00

09:00 - 20:00
09:00 - 20:00
09:00 - 20:00
09:00 - 14:00
14:00 - 18:00",,,
이비인후과,상쾌한이비인후과의원,051-612-3456,부산 수영구 수영로 379 5층,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간
접기","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
내과,한가족내과의원,0507-1485-4433,부산 수영구 수영로 557 호암빌딩 2층,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,09:00 - 13:30,정보없음,"09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:30
정보없음",,,
피부과,청담에이스의원,051-753-7583,부산 수영구 광안로 4 3층,"10:00 - 18:00
12:00 - 14:00 휴게시간",,"10:00 - 18:00
12:00 - 14:00 휴게시간",14:00 - 20:00,"10:00 - 18:00
12:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 18:00

10:00 - 18:00
14:00 - 20:00
10:00 - 18:00
10:00 - 14:00
정기휴무 (매주 일요일)",12:00 - 14:00 ,,매주 일요일
요양병원,다온요양병원,051-935-3000,부산 수영구 남천서로20번길 49,09:00 - 18:00,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 17:00
09:00 - 17:00
09:00 - 17:00
09:00 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
한의원,새날한의원,051-752-9811,부산 수영구 광안로 15-3,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
09:30 - 19:00
09:30 - 19:00
09:30 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
치과,수영어린이치과의원,051-784-7575,부산 수영구 수영로 685 영동빌딩 6층,"10:00 - 18:30
12:30 - 14:00 휴게시간",,"10:00 - 18:30
12:30 - 14:00 휴게시간","10:00 - 18:30
12:30 - 14:00 휴게시간","10:00 - 18:30
12:30 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),"10:00 - 18:30

10:00 - 18:30
10:00 - 18:30
10:00 - 18:30
10:00 - 14:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
정형외과,우리동네정형외과의원,051-911-8288,부산 수영구 연수로 402 원룸고시텔,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
산부인과,수영여성의원,051-757-5353,부산 수영구 수영로 675,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
정형외과,활짝핀정형외과의원,0507-1457-1275,부산 수영구 수영로 586 MK메디컬센터 4층,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","09:00 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,13:30,매주 일요일
정형외과,광안리재활의학과의원,0507-1321-7341,"부산 수영구 수영로 577 9층, 10층","09:30 - 19:00
12:30 - 14:00 휴게시간",,"09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
09:30 - 19:00
09:30 - 19:00
09:30 - 13:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
