병원종류,영업시간,이름,전화번호,병원주소
내과,051-321-2119,1,,"부산 사상구 낙동대로 790 신우프라자
금 09:00 - 18:30
13:00 - 14:00 휴게시간
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 13:00
목 09:00 - 18:30
13:00 - 14:00 휴게시간"
내과,051-325-8275,1,,"부산 사상구 사상로 231
금 09:00 - 17:30
13:00 - 14:00 휴게시간
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 17:30
13:00 - 14:00 휴게시간
화 09:00 - 17:30
13:00 - 14:00 휴게시간
수 09:00 - 13:00
목 09:00 - 17:30
13:00 - 14:00 휴게시간
접기"
내과,051-831-7763,1,,"부산 강서구 신호산단2로 41
금 09:00 - 18:00
13:00 - 14:00 휴게시간
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:00
13:00 - 14:00 휴게시간
목 09:00 - 18:00
13:00 - 14:00 휴게시간"
내과,051-941-8866,1,,"부산 강서구 대저로 283-1
금 08:30 - 13:00
토 08:00 - 12:00
일 정보없음
월 08:30 - 13:00
화 08:30 - 17:00
수 08:30 - 13:00
목 08:30 - 17:00
접기"
내과,051-966-0029,1,,"부산 강서구 신호산단2로 21
금 09:00 - 18:00
13:00 - 14:00 휴게시간
토 09:00 - 14:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:00
13:00 - 14:00 휴게시간
목 09:00 - 18:00
13:00 - 14:00 휴게시간"
내과,051-970-5182,1,,"부산 강서구 공항진입로42번길 54
"
내과,051-9710-1572,1,,"부산 강서구 대저중앙로29번길 62 부산교도소부속의원
"
내과,051-973-8575,1,,"부산 강서구 공항앞길 5
금 09:00 - 18:00
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
화(6/6) 현충일 휴무
수 09:00 - 18:00
목 09:00 - 18:00"
내과,051-979-9089,1,,"부산 강서구 르노삼성대로 61
"
내과,055-312-9955,1,,"경남 김해시 능동로155번길 2
금 09:00 - 18:30
13:00 - 14:00 휴게시간
토 09:00 - 15:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:30
13:00 - 14:00 휴게시간
목 09:00 - 18:30
13:00 - 14:00 휴게시간"
내과,055-313-0095,1,,"경남 김해시 번화1로79번길 2 2층
금 09:00 - 18:00
토 09:00 - 13:00
일 09:00 - 18:00
월 09:00 - 18:00
화(6/6) 현충일 휴무
수 09:00 - 18:00
목 09:00 - 18:00"
내과,055-314-3651,1,,"경남 김해시 계동로23번길 3-19
금 09:00 - 18:30
12:30 - 14:00 휴게시간
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:30
12:30 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:30
12:30 - 14:00 휴게시간
목 09:00 - 18:30
12:30 - 14:00 휴게시간"
내과,055-321-7696,1,,"경남 김해시 율하3로 21 율하메디칼
금 09:00 - 18:30
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:30
화(6/6) 현충일 휴무
수 09:00 - 18:30
목 09:00 - 18:30"
내과,055-323-1586,1,,"경남 김해시 인제로 190 선교메디칼빌딩 3층
금 08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
토 08:30 - 13:00
12:30 접수마감
일 정기휴무 (매주 일요일)
월 08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
화 08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
수 08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
목 08:30 - 18:00
12:30 - 13:30 휴게시간
17:30 접수마감
접기"
내과,055-326-6030,1,,"경남 김해시 내외로 79 2층
금 09:00 - 18:30
토 09:00 - 14:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:30
화(6/6) 현충일 휴무
수 09:00 - 18:30
목 09:00 - 18:30"
내과,055-551-1888,1,,"경남 창원시 진해구 신항동로 141 애플타운헤리티지 210호
금 09:00 - 18:30
13:00 - 14:00 휴게시간
토 09:00 - 13:30
일 정기휴무 (매주 일요일)
월 09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:30
13:00 - 14:00 휴게시간
목 09:00 - 18:30
13:00 - 14:00 휴게시간"
내과,055-902-0119,1,,"경남 김해시 율하로 478 201호
금 09:00 - 18:30
13:00 - 14:00 휴게시간
토 09:00 - 14:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:30
13:00 - 14:00 휴게시간
목 09:00 - 18:30
13:00 - 14:00 휴게시간"
마취통증의학과,0507-1406-7992,1,,"부산 강서구 명지국제2로28번길 3 302호~305호
금 10:00 - 20:00
13:00 - 14:00 휴게시간
19:30 접수마감
토 10:00 - 15:00
14:30 접수마감
일 정기휴무 (매주 일요일)
월 10:00 - 20:00
13:00 - 14:00 휴게시간
19:30 접수마감
화(6/6) 현충일 휴무
수 10:00 - 20:00
13:00 - 14:00 휴게시간
19:30 접수마감
목 10:00 - 20:00
13:00 - 14:00 휴게시간
19:30 접수마감"
마취통증의학과,0507-1466-7736,1,,"부산 강서구 명지국제2로28번길 3 동건프라자 6층
금 09:00 - 18:30
12:30 - 14:00 휴게시간
토 09:00 - 14:00
일 09:00 - 13:00
월 09:00 - 18:30
12:30 - 14:00 휴게시간
화 09:00 - 18:30
12:30 - 14:00 휴게시간
수 09:00 - 18:30
12:30 - 14:00 휴게시간
목 09:00 - 18:30
12:30 - 14:00 휴게시간"
"병원,의원",0507-1346-7170,1,,"부산 강서구 대저로 266 1층
금 08:00 - 18:00
토 08:00 - 13:00
일 정기휴무 (매주 일요일)
월 08:00 - 18:00
화(6/6) 현충일08:00 - 13:00
수 08:00 - 18:00
목 08:00 - 18:00"
"병원,의원",0507-1392-9013,1,,"부산 강서구 명지오션시티4로 99
매일 09:00 - 18:00
접기"
"병원,의원",0507-1429-7833,1,,"부산 사하구 낙동남로 1410
금 09:00 - 18:00
12:30 - 13:30 휴게시간
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
12:30 - 13:30 휴게시간
화 09:00 - 18:00
12:30 - 13:30 휴게시간
수 09:00 - 18:00
12:30 - 13:30 휴게시간
목 09:00 - 18:00
12:30 - 13:30 휴게시간"
"병원,의원",0507-1430-0340,1,,"경남 김해시 분성로 14-4 일동한신아파트 주상가 204호
금 09:30 - 19:00
12:30 - 14:00 휴게시간
토 09:30 - 17:00
12:30 - 14:00 휴게시간
일 09:30 - 17:00
12:30 - 14:00 휴게시간
월 09:30 - 19:00
12:30 - 14:00 휴게시간
화(6/6) 현충일09:30 - 17:00
12:30 - 14:00 휴게시간
수 09:30 - 20:30
12:30 - 14:00 휴게시간
목 09:30 - 19:00
12:30 - 14:00 휴게시간
접기"
"병원,의원",0507-1440-8275,1,,"부산 강서구 명지국제8로 245 뉴타워 3층 302~304호
금 09:00 - 19:00
13:00 - 14:00 휴게시간
토 09:00 - 14:00
일 정기휴무 (매주 일요일)
월 09:00 - 19:00
13:00 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 19:00
13:00 - 14:00 휴게시간
목 09:00 - 19:00
13:00 - 14:00 휴게시간"
"병원,의원",051-201-8854,1,,"부산 강서구 명지오션시티4로 95 웰하이여성아동병원
"
"병원,의원",051-207-4343,1,,"부산 사하구 낙동남로 1401
"
"병원,의원",051-262-3344,1,,"부산 사하구 다대로 315
금 08:30 - 17:00
12:30 - 13:30 휴게시간
토 08:30 - 12:30
일 정기휴무 (매주 일요일)
월 08:30 - 17:00
12:30 - 13:30 휴게시간
화(6/6) 현충일 휴무
수 08:30 - 17:00
12:30 - 13:30 휴게시간
목 08:30 - 17:00
12:30 - 13:30 휴게시간"
"병원,의원",051-265-7575,1,,"부산 사하구 다대로 321
금 09:00 - 18:00
13:00 - 14:00 휴게시간
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
13:00 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:00
13:00 - 14:00 휴게시간
목 09:00 - 18:00
13:00 - 14:00 휴게시간"
"병원,의원",051-266-2600,1,,"부산 사하구 다대로 311
금 09:00 - 17:30
12:30 - 13:30 휴게시간
토 09:00 - 12:30
일 정기휴무 (매주 일요일)
월 09:00 - 17:30
12:30 - 13:30 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 17:30
12:30 - 13:30 휴게시간
목 09:00 - 17:00
12:30 - 13:30 휴게시간"
"병원,의원",051-305-7588,1,,"부산 사상구 사상로 236
금 09:00 - 18:30
13:00 - 14:00 휴게시간
토 08:30 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:30
13:00 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:30
13:00 - 14:00 휴게시간
목 09:00 - 13:00"
"병원,의원",051-363-2331,1,,"부산 북구 금곡대로 133
금 09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감
토 09:00 - 12:30
12:00 접수마감
일 정기휴무 (매주 일요일)
월 09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감
화(6/6) 현충일 휴무
수 09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감
목 09:00 - 17:30
12:30 - 14:00 휴게시간
17:00 접수마감"
"병원,의원",051-710-6888,1,,"부산 강서구 명지오션시티9로 21
금 08:30 - 16:00
12:00 - 13:00 휴게시간
토 정기휴무 (매주 토요일)
일 정기휴무 (매주 일요일)
월 08:30 - 16:00
12:00 - 13:00 휴게시간
화(6/6) 현충일 휴무
수 08:30 - 16:00
12:00 - 13:00 휴게시간
목 08:30 - 16:00
12:00 - 13:00 휴게시간"
"병원,의원",051-974-2888,1,,"부산 강서구 공항진입로 108 김해국제공항국내선청사 1F
금 09:00 - 17:00
토 정기휴무 (매주 토요일)
일 정기휴무 (매주 일요일)
월 09:00 - 17:00
화(6/6) 현충일 휴무
수 09:00 - 17:00
목 09:00 - 17:00"
"병원,의원",051-974-8300,1,,"부산 강서구 녹산산단321로 24-8
금 08:30 - 17:30
12:30 - 13:30 휴게시간
토 08:30 - 12:30
일 정기휴무 (매주 일요일)
월 08:30 - 17:30
12:30 - 13:30 휴게시간
화 08:30 - 17:30
12:30 - 13:30 휴게시간
수 08:30 - 17:30
12:30 - 13:30 휴게시간
목 08:30 - 17:30
12:30 - 13:30 휴게시간"
"병원,의원",051-985-1000,1,,"부산 강서구 과학산단2로20번길 20 행복메디컬빌딩 2층
금 09:00 - 17:00
13:00 - 14:00 휴게시간
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월(6/5) 휴무
화(6/6) 현충일 휴무
수 09:00 - 18:00
13:00 - 14:00 휴게시간
목 09:00 - 18:00
13:00 - 14:00 휴게시간"
"병원,의원",055-330-9100,1,,"경남 김해시 구지로 56 김해센텀병원
금 09:00 - 18:00
12:30 - 13:30 휴게시간
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
12:30 - 13:30 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:00
12:30 - 13:30 휴게시간
목 09:00 - 18:00
12:30 - 13:30 휴게시간"
"병원,의원",055-335-0300,1,,"경남 김해시 분성로 444 굿모닝빌딩
"
"병원,의원",055-339-8811,1,,"경남 김해시 번화1로44번길 6
금 09:00 - 18:00
12:50 - 14:00 휴게시간
토 09:00 - 12:50
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
12:50 - 14:00 휴게시간
화 09:00 - 18:00
12:50 - 14:00 휴게시간
수 09:00 - 18:00
12:50 - 14:00 휴게시간
목 09:00 - 18:00
12:50 - 14:00 휴게시간"
"병원,의원",055-540-7500,1,,"경남 창원시 진해구 용원서로 42 세명병원
금 09:00 - 18:00
12:30 - 14:00 휴게시간
토 09:00 - 13:00
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
12:30 - 13:30 휴게시간
화 09:00 - 18:00
12:30 - 14:00 휴게시간
수 09:00 - 18:00
12:30 - 14:00 휴게시간
목 09:00 - 18:00
12:30 - 14:00 휴게시간"
"병원,의원",055-552-7582,1,,"경남 창원시 진해구 용원로 15 희망병원
"
"병원,의원",1599-8275,1,,"부산 사하구 승학로 8
"
병원부속시설,0507-1376-5104,1,,"부산 강서구 대저중앙로172번길 20
금 09:00 - 18:00
토 정기휴무 (매주 토요일)
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
화(6/6) 현충일 휴무
수 09:00 - 18:00
목 09:00 - 18:00"
병원부속시설,No phone number available,2,,"부산 강서구 가락대로 1476 가락동 주민센터
"
보건소,051-220-5701,1,,"부산 사하구 하신중앙로 185 사하구 제2청사
금 09:00 - 18:00
12:00 - 13:00 휴게시간
토 정보없음
일 정보없음
월 09:00 - 18:00
12:00 - 13:00 휴게시간
화 09:00 - 18:00
12:00 - 13:00 휴게시간
수 09:00 - 18:00
12:00 - 13:00 휴게시간
목 09:00 - 18:00
12:00 - 13:00 휴게시간
접기"
보건소,051-310-4791,1,,"부산 사상구 학감대로 242
금 09:00 - 18:00
12:00 - 13:00 휴게시간
토 정기휴무 (매주 토요일)
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
12:00 - 13:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:00
12:00 - 13:00 휴게시간
목 09:00 - 18:00
12:00 - 13:00 휴게시간"
보건소,051-970-2926,1,,"부산 강서구 공항로811번길 10
"
보건소,051-970-3411,1,,"부산 강서구 공항로811번가길 36
"
보건소,051-970-3415,1,,"부산 강서구 공항로811번길 10 강서브라이트센터
"
보건소,051-970-3421,1,,"부산 강서구 공항로811번가길 36
"
보건소,051-970-3433,1,,"부산 강서구 공항로811번가길 36
"
보건소,051-970-3445,1,,"부산 강서구 공항로811번가길 36
"
보건소,051-970-3481,1,,"부산 강서구 공항로811번가길 36
"
보건소,1577-9400,2,,"경남 김해시 분성로 227 김해시 보건소
금 09:00 - 18:00
12:00 - 13:00 휴게시간
토 정기휴무 (매주 토요일)
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
12:00 - 13:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:00
12:00 - 13:00 휴게시간
목 09:00 - 18:00
12:00 - 13:00 휴게시간"
보건지소,051-970-4795,1,,"부산 강서구 낙동북로102번길 76 강동보건지소
금 09:00 - 18:00
토 정보없음
일 정보없음
월 09:00 - 18:00
화 09:00 - 18:00
수 09:00 - 18:00
목 09:00 - 18:00
접기"
보건지소,051-970-4796,1,,"부산 강서구 생곡로 17
금 09:00 - 18:00
토 정보없음
일 정보없음
월 09:00 - 18:00
화 09:00 - 18:00
수 09:00 - 18:00
목 09:00 - 18:00
접기"
보건지소,051-970-4797,1,,"부산 강서구 성북1길 70-1
금 09:00 - 18:00
토 정보없음
일 정보없음
월 09:00 - 18:00
화 09:00 - 18:00
수 09:00 - 18:00
목 09:00 - 18:00
접기"
보건지소,051-970-4798,1,,"부산 강서구 가락대로 1476 가락동 주민센터
금 09:00 - 18:00
토 정보없음
일 정보없음
월 09:00 - 18:00
화 09:00 - 18:00
수 09:00 - 18:00
목 09:00 - 18:00
접기"
보건진료소,051-970-2980,1,,"부산 강서구 과학산단2로20번길 5
금 09:00 - 18:00
토 정보없음
일 정보없음
월 09:00 - 18:00
화 09:00 - 18:00
수 09:00 - 18:00
목 09:00 - 18:00
접기"
보건진료소,051-971-7623,1,,"부산 강서구 가덕해안로821번길 100 천성보건진료소
금 09:00 - 18:00
12:00 - 13:00 휴게시간
토 정기휴무 (매주 토요일)
일 정기휴무 (매주 일요일)
월 09:00 - 18:00
12:00 - 13:00 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 18:00
12:00 - 13:00 휴게시간
목 09:00 - 18:00
12:00 - 13:00 휴게시간"
보건진료소,051-972-7335,1,,"부산 강서구 가덕해안로1208번가길 9 대항보건진료소
"
보훈병원,1800-3100,1,,"부산 사상구 백양대로 420
금 09:00 - 17:00
12:30 - 13:30 휴게시간
토 정기휴무 (매주 토요일)
일 정기휴무 (매주 일요일)
월 09:00 - 17:00
12:30 - 13:30 휴게시간
화(6/6) 현충일 휴무
수 09:00 - 17:00
12:30 - 13:30 휴게시간
목 09:00 - 17:00
12:30 - 13:30 휴게시간"
비뇨의학과,051-205-2017,1,,"부산 강서구 명지국제8로 245 뉴타워상가 7층
금 10:00 - 18:15
13:00 - 14:00 휴게시간
18:00 접수마감
토 09:30 - 13:15
13:00 접수마감
일 정기휴무 (매주 일요일)
월 10:00 - 18:15
13:00 - 14:00 휴게시간
18:00 접수마감
화(6/6) 현충일 휴무
수 14:00 - 18:15
18:00 접수마감
목 10:00 - 18:15
13:00 - 14:00 휴게시간
18:00 접수마감"
비뇨의학과,051-317-7582,1,,"부산 사상구 광장로 77
금 09:30 - 18:00
12:45 - 14:00 휴게시간
토 09:30 - 12:30
일 정기휴무 (매주 일요일)
월 09:30 - 18:00
12:45 - 14:00 휴게시간
화(6/6) 현충일 휴무
수 09:30 - 18:00
12:45 - 14:00 휴게시간
목 09:30 - 18:00
12:45 - 14:00 휴게시간"
산부인과,051-200-9999,1,,"부산 사하구 낙동남로 1388
"
