수,목,토(6/3),금,월,병원이름,병원주소,화,화(6/6),토,일,매일,수(6/7),월(6/5),병원종류,전화번호
"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",사상구보건소,부산 사상구 학감대로 242,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,보건소,051-310-4791
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",삼성본정형외과의원,부산 사상구 가야대로 276 M-suare 메디컬센터 8층,"09:00 - 18:30
12:30 - 14:00 휴게시간",,09:00 - 13:00,정기휴무 (매주 일요일),,,,정형외과,051-711-0280
"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",성모이비인후과의원,부산 사상구 낙동대로 786,,현충일 휴무,09:00 - 12:00,정기휴무 (매주 일요일),,,,이비인후과,051-316-1117
"10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간
접기",,"10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간
18:00 - 18:30 휴게시간",예인의원,부산 사상구 광장로 17 이마트,,"현충일10:00 - 17:00
13:00 - 14:00 휴게시간","10:00 - 17:00
13:00 - 14:00 휴게시간","10:00 - 17:00
13:00 - 14:00 휴게시간",,,,내과,051-317-7855
"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",좋은삼선병원,부산 사상구 가야대로 326,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,종합병원,051-322-0900
09:00 - 13:00,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",명인내과의원,부산 사상구 낙동대로 790 신우프라자,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-321-2119
"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간
접기",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",안호식소아청소년과의원,부산 사상구 가야대로 274,"09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,정보없음,,,,소아청소년과,051-311-1114
"09:30 - 18:00
12:45 - 14:00 휴게시간","09:30 - 18:00
12:45 - 14:00 휴게시간",,"09:30 - 18:00
12:45 - 14:00 휴게시간","09:30 - 18:00
12:45 - 14:00 휴게시간",필업비뇨기과의원,부산 사상구 광장로 77,,현충일 휴무,09:30 - 12:30,정기휴무 (매주 일요일),,,,비뇨의학과,051-317-7582
"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",보훈공단 부산보훈병원,부산 사상구 백양대로 420,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,보훈병원,1800-3100
"09:30 - 19:00
13:00 - 14:30 휴게시간","09:30 - 19:00
13:00 - 14:30 휴게시간",,"09:30 - 20:00
13:00 - 14:30 휴게시간","09:30 - 20:00
13:00 - 14:30 휴게시간",선샤인피부과의원,부산 사상구 가야대로 276 엘리트치과병원건물 3층 선샤인피부과의원,,현충일 휴무,09:30 - 14:00,정기휴무 (매주 일요일),,,,피부과,0507-1495-3210
"09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",,"09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:10 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",박만규피부과의원,부산 사상구 가야대로 272,,현충일 휴무,"09:10 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),,,,피부과,0507-1492-5445
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",가본이비인후과의원,부산 사상구 엄궁북로 22,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,이비인후과,051-325-5075
"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",우리탑치과의원,부산 사상구 가야대로 290 4층,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,치과,0507-1420-2804
14:00 - 20:30,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",사상늘편한재활의학과의원,"부산 사상구 사상로 194 2층, 8층 사상늘편한재활의학과의원",,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,정형외과,0507-1338-7577
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간
접기",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",부산탑이비인후과의원,부산 사상구 가야대로 276 M-square 메디컬센터 5층 501호 (주례동),,현충일09:00 - 13:00,09:00 - 13:00,정기휴무 (매주 일요일),,,,이비인후과,051-710-7655
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",참사랑의원,부산 사상구 덕상로 14 대원빌딩,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,가정의학과,051-304-7584
"09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",,"09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감","09:30 - 19:00
13:00 - 14:00 휴게시간
18:50 접수마감",새봄산부인과의원,부산 사상구 광장로 77 4층,,현충일 휴무,"09:30 - 15:30
13:00 - 14:00 휴게시간
15:20 접수마감",정기휴무 (매주 일요일),,,,산부인과,051-311-1331
"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",서정출이비인후과의원,부산 사상구 운산로 52,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,이비인후과,051-316-8275
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:30
13:00 - 14:00 휴게시간",킴스가정의학과의원,부산 사상구 대동로 107 명정빌딩 2층,,현충일 휴무,정기휴무 (매주 토요일),"09:00 - 17:00
13:00 - 14:00 휴게시간",,,,가정의학과,051-323-7577
"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",연세윤내과의원,부산 사상구 사상로 200 엠시티빌딩 4층,,휴무,09:00 - 14:00,09:00 - 13:00,,,,내과,051-321-1231
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",임용수이비인후과의원,부산 사상구 대동로 98 학장반도보라타운,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,이비인후과,051-322-9937
"09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",,"09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",마린플란트치과의원,"부산 사상구 사상로 194 괘법동 메디컬센터 4층, 5층",,현충일 휴무,09:30 - 14:00,09:30 - 14:00,,,,치과,051-322-3332
09:00 - 13:00,"09:00 - 17:30
13:00 - 14:00 휴게시간
접기",,"09:00 - 17:30
13:00 - 14:00 휴게시간","09:00 - 17:30
13:00 - 14:00 휴게시간",셀빙강내과의원,부산 사상구 사상로 231,"09:00 - 17:30
13:00 - 14:00 휴게시간",,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-325-8275
"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간
접기",,"09:00 - 18:00
12:30 - 13:30 휴게시간","09:00 - 18:00
12:30 - 13:30 휴게시간",큰솔병원,부산 사상구 대동로 141,"09:00 - 18:00
12:30 - 13:30 휴게시간",,09:00 - 13:00,정기휴무 (매주 일요일),,,,"병원,의원",051-325-9700
"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",부영병원,부산 사상구 학감대로123번길 76,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,"병원,의원",051-320-6800
"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",휴무,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",채움치과의원,부산 사상구 광장로 76 4층,,현충일 휴무,,정기휴무 (매주 일요일),,,,치과,051-321-2875
"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",,"09:00 - 20:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",우리병원,부산 사상구 사상로 237,,현충일 휴무,정기휴무 (매주 토요일),정기휴무 (매주 일요일),,,,"병원,의원",051-323-6613
"09:30 - 18:30
13:00 - 14:00 휴게시간",14:00 - 19:00,,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",좋은성모안과의원,부산 사상구 백양대로 886 정예독서실 4층,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,안과,051-936-6000
09:00 - 18:00,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,나비산부인과의원,부산 사상구 사상로 236 재원메디칼 4층,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,산부인과,051-313-3321
"09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 12:30,,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",이건주이비인후과의원,부산 사상구 백양대로 884 우신모라아파트,,현충일09:30 - 12:30,09:30 - 12:30,정기휴무 (매주 일요일),,,,이비인후과,051-324-2458
14:00 - 20:30,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",사상늘편한재활의학과의원,"부산 사상구 사상로 194 2층, 8층 사상늘편한재활의학과의원",,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,정형외과,0507-1338-7577
"09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",,"09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","09:00 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",부산정형외과의원,부산 사상구 사상로 325 부산정형외과,,현충일 휴무,"09:00 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),,,,정형외과,051-303-0039
"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",주례성모안과의원,부산 사상구 가야대로 276 엠스퀘어메디컬 9층,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,안과,0507-1348-1920
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",큰내과의원,부산 사상구 광장로 77,,현충일 휴무,"09:00 - 15:30
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),,,,내과,051-321-1117
"09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감","09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감
접기",,"09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감","09:00 - 19:00
12:30 - 14:00 휴게시간
18:30 접수마감",미래어린이병원,"부산 사상구 낙동대로 790 3층, 4층, 7층 미래어린이병원",,현충일09:00 - 13:00,"09:00 - 16:00
13:00 - 14:00 휴게시간
15:30 접수마감","09:00 - 13:00
12:30 접수마감",,,,소아청소년과,051-313-1717
"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",센텀안과의원,부산 사상구 사상로 236,,현충일 휴무,09:00 - 12:30,정기휴무 (매주 일요일),,,,안과,051-315-9985
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",박시영이비인후과의원,부산 사상구 사상로 246,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,이비인후과,051-315-6316
"10:00 - 18:30
13:00 - 15:00 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간",,"10:00 - 18:30
13:00 - 14:30 휴게시간","10:00 - 18:30
13:00 - 14:30 휴게시간",김창영치과의원,부산 사상구 백양대로 903 김창영치과의원,,현충일 휴무,10:00 - 13:00,정기휴무 (매주 일요일),,,,치과,051-325-2828
09:00 - 20:00,09:00 - 20:00,,09:00 - 20:00,09:00 - 20:00,강한의원,부산 사상구 가야대로282번길 8,,현충일 휴무,"09:00 - 13:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),,,,한의원,0507-1400-8300
09:30 - 16:00,09:30 - 16:00,,09:30 - 16:00,09:30 - 16:00,애플의원,부산 사상구 사상로 201 애플아울렛별관5층,,현충일 휴무,09:30 - 13:30,정기휴무 (매주 일요일),,,,피부과,0507-1485-0366
"09:00 - 18:30
13:00 - 14:00 휴게시간",14:00 - 18:30,,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",화인정형외과의원,부산 사상구 낙동대로 790 서울약국,,현충일09:00 - 13:00,09:00 - 13:00,정기휴무 (매주 일요일),,,,정형외과,051-323-8200
09:00 - 18:00,09:00 - 19:00,,09:00 - 18:00,09:00 - 18:00,현백의료재단 사상고려병원,부산 사상구 사상로 282,,현충일 휴무,09:00 - 15:00,정기휴무 (매주 일요일),,,,"병원,의원",051-301-8275
"10:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감","10:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",,"11:00 - 15:00
14:30 접수마감","10:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",세인트치과의원,부산 사상구 사상로 200 M시티빌딩 6층 세인트치과의원,"10:10 - 19:00
13:00 - 14:00 휴게시간
18:30 접수마감",,"10:10 - 17:00
13:00 - 14:00 휴게시간
16:30 접수마감",정기휴무 (매주 일요일),,,,치과,051-316-1066
"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간
접기",,09:00 - 13:00,"09:00 - 18:30
13:00 - 14:00 휴게시간",하나메디칼의원,부산 사상구 사상로 481,"09:00 - 18:30
13:00 - 14:00 휴게시간",,정기휴무 (매주 토요일),09:00 - 17:00,,,,내과,051-302-3307
"11:00 - 21:00
13:00 - 14:00 휴게시간
20:30 접수마감","09:00 - 13:00
12:30 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:30 접수마감",마음튼튼정신건강의학과의원,부산 사상구 사상로 194 9층,,현충일 휴무,"09:00 - 14:00
13:30 접수마감",정기휴무 (매주 일요일),,,,정신건강의학과,0507-1377-2711
"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",박지현산부인과의원,부산 사상구 가야대로 272,,현충일 휴무,09:30 - 13:00,정기휴무 (매주 일요일),,,,산부인과,051-328-3232
"09:00 - 20:00
12:30 - 14:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간
접기",,"09:00 - 20:00
12:30 - 14:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간",명진한의원,"부산 사상구 가야대로 290 2, 3층",,현충일09:00 - 14:00,09:00 - 14:00,09:00 - 14:00,,,,한의원,051-710-9088
09:00 - 18:00,09:00 - 19:00,,09:00 - 18:00,09:00 - 19:00,주례참조은의원,부산 사상구 냉정로 123,09:00 - 19:00,,09:00 - 14:00,정보없음,,,,내과,051-316-0875
"09:00 - 19:00
13:00 - 14:00 휴게시간",14:00 - 19:00,,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",맑은유비뇨기과의원,부산 사상구 낙동대로 786 애진빌딩 502호,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,비뇨의학과,051-324-2481
08:30 - 19:00,08:30 - 19:00,,08:30 - 19:00,08:30 - 19:00,참좋은정형외과의원,부산 사상구 백양대로 893 궁전빌딩 402호 참좋은 정형외과의원,,08:30 - 13:00,08:30 - 13:00,정기휴무 (매주 일요일),,,,정형외과,0507-1310-7587
09:00 - 20:00,09:00 - 20:00,,09:00 - 20:00,09:00 - 20:00,신세계한방병원,부산 사상구 사상로 174,,현충일09:00 - 15:00,09:00 - 15:00,09:00 - 15:00,,,,한의원,051-327-1199
"09:00 - 18:00
12:30 - 14:00 휴게시간",정기휴무 (매주 목요일),,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",봄내과의원,부산 사상구 가야대로 276,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-715-5210
"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",김대영내과의원,부산 사상구 가야대로 274,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-312-7588
"08:30 - 21:00
13:00 - 14:00 휴게시간","08:30 - 21:00
13:00 - 14:00 휴게시간",,"08:30 - 21:00
13:00 - 14:00 휴게시간","08:30 - 21:00
13:00 - 14:00 휴게시간",퍼스트이비인후과의원,부산 사상구 사상로 236 재원메디컬센터 3층,,현충일 휴무,09:00 - 14:00,정기휴무 (매주 일요일),,,,이비인후과,051-711-5522
"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",나상옥신경과의원,부산 사상구 가야대로 274,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,신경과,051-323-6226
"08:30 - 18:30
13:00 - 14:00 휴게시간","08:30 - 18:30
13:00 - 14:00 휴게시간",,"08:30 - 18:30
13:00 - 14:00 휴게시간","08:30 - 18:30
13:00 - 14:00 휴게시간",속편한희망내과의원,"부산 사상구 낙동대로 780 2, 3층",,현충일 휴무,08:30 - 13:30,정기휴무 (매주 일요일),,,,내과,051-715-7996
"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",송비뇨기과의원,부산 사상구 가야대로 278-1 2층,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,비뇨의학과,051-323-8979
"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",우리탑치과의원,부산 사상구 가야대로 290 4층,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,치과,0507-1420-2804
"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 13:00
접기",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",학장제일한의원,부산 사상구 대동로 95 3층 학장제일한의원,,현충일09:30 - 13:00,09:30 - 13:00,정기휴무 (매주 일요일),,,,한의원,051-316-7975
"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",김이태소아청소년과의원,부산 사상구 사상로 252 김이태소아과의원,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,소아청소년과,051-316-7271
09:00 - 18:00,"09:00 - 18:00
접기",,09:00 - 18:00,09:00 - 18:00,좋은부산요양병원,부산 사상구 학감대로39번길 67,09:00 - 18:00,,정보없음,정보없음,,,,요양병원,051-326-0900
,,,,,좋은삼선병원 응급의료센터,부산 사상구 가야대로 326,,,,,"00:00 - 24:00
접기",,,응급실,051-310-9109
09:30 - 13:00,"09:30 - 18:30
13:00 - 14:00 휴게시간
접기",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",강남비뇨의학과의원,부산 사상구 사상로 194 괘법동 메디컬센터 12층,"09:30 - 18:30
13:00 - 14:00 휴게시간",,09:30 - 13:00,정기휴무 (매주 일요일),,,,비뇨의학과,051-316-1175
"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",양영선내과의원,부산 사상구 가야대로 272 메디칼빌딩 5층,,현충일 휴무,09:00 - 13:00,정기휴무 (매주 일요일),,,,내과,051-328-7890
10:00 - 12:30,"10:00 - 18:00
12:30 - 13:30 휴게시간",,"10:00 - 18:00
12:30 - 13:30 휴게시간",,사상사랑성모안과의원,부산 사상구 사상로 200,,현충일 휴무,10:00 - 12:30,정기휴무 (매주 일요일),,,휴무,안과,051-314-0775
