병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감
부산힘찬병원,정형외과,1899-2555,부산 동래구 충렬대로 255,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
좋은날에드라마여성병원,산부인과,051-522-7575,부산 동래구 충렬대로 449,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간",09:00 - 12:50,정기휴무 (매주 일요일),,,
부산우리들병원,"병원,의원",051-559-2000,"부산 동래구 중앙대로 1523 SKHUBSKY 1, 10,11,12,13층",09:00 - 17:30,,09:00 - 17:30,09:00 - 17:30,09:00 - 17:30,09:00 - 13:00,정기휴무 (매주 일요일),,,
세화병원,산부인과,051-505-1333,부산 동래구 미남로132번길 28 세화병원,"08:00 - 17:00
13:00 - 14:00 휴게시간",,"08:00 - 17:00
13:00 - 14:00 휴게시간","08:00 - 17:00
13:00 - 14:00 휴게시간
접기","08:00 - 17:00
13:00 - 14:00 휴게시간",08:30 - 13:00,09:00 - 11:00,,,
신세계정형외과의원,정형외과,051-918-1000,부산 동래구 우장춘로 7 5층,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),09:00 - 19:00,13:00 - 14:00 ,
쉬즈의원,피부과,051-501-3222,부산 동래구 사직북로 24 가람빌딩,10:00 - 21:00,,10:00 - 21:00,10:00 - 19:00,10:00 - 19:00,10:00 - 15:00,정기휴무 (매주 일요일),,,
동래봄산부인과의원,산부인과,051-711-2060,부산 동래구 동래로 25 9층,"10:00 - 18:00
13:00 - 14:00 휴게시간",,정기휴무 (매주 수요일),"10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),,,
우리비전내과외과의원,내과,051-552-0075,부산 동래구 충렬대로 239 수안 메디칼센터,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),,,
벧엘피부과의원,피부과,0507-1420-7978,부산 동래구 충렬대로 160,"10:00 - 19:00
13:00 - 14:30 휴게시간",,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 20:00
13:00 - 14:30 휴게시간",10:00 - 14:30,정기휴무 (매주 일요일),,,
수의원,성형외과,051-556-0906,부산 동래구 온천장로 3,,,,,,,,,,
이보람치과교정과치과의원,치과,051-504-8566,부산 동래구 사직북로 6,"11:00 - 19:00
13:00 - 14:30 휴게시간",,"11:00 - 19:00
13:00 - 14:30 휴게시간",정기휴무 (매주 목요일),"11:00 - 19:00
13:00 - 14:30 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),,,
99서울소아청소년과의원,소아청소년과,0507-1307-1106,"부산 동래구 금강로 91 4,5,6층","09:00 - 18:30
12:30 - 13:50 휴게시간",,"09:00 - 18:30
12:30 - 13:50 휴게시간","09:00 - 18:30
12:30 - 13:50 휴게시간
접기","09:00 - 18:30
12:30 - 13:50 휴게시간","09:00 - 18:00
12:30 - 13:50 휴게시간","09:00 - 18:00
12:30 - 13:50 휴게시간",,,
동래 보스톤치과의원,치과,0507-1423-2881,부산 동래구 충렬대로 251 3층 부산동래보스톤치과,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 21:00
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
에일린여성의원,산부인과,0507-1421-1008,부산 동래구 사직북로 6 8층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
웰빙플러스의원,내과,0507-1423-3650,부산 동래구 중앙대로 1523 SKHUBSKY,"10:00 - 20:30
13:00 - 14:30 휴게시간",,"10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",,,
세계로병원,"병원,의원",051-500-6000,부산 동래구 종합운동장로 42,"09:00 - 18:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
아이튼튼소아청소년과의원,소아청소년과,051-517-5902,부산 동래구 명륜로 191,"09:00 - 18:30
12:45 - 14:00 휴게시간",,"09:00 - 18:30
12:45 - 14:00 휴게시간","09:00 - 18:30
12:45 - 14:00 휴게시간","09:00 - 18:30
12:45 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),,,
열린내과의원,내과,051-710-7975,부산 동래구 석사로 5,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,09:00 - 13:00,,,
이현정소아청소년과의원,소아청소년과,051-583-8002,부산 동래구 명륜로103번길 19 8층,"09:00 - 18:00
12:30 - 14:00 휴게시간",,09:00 - 12:30,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
미래병원,정형외과,051-523-3200,부산 동래구 충렬대로 358 미래병원,"09:00 - 17:00
13:00 - 14:00 휴게시간",,"09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 17:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
최봉근소아과의원,소아청소년과,051-527-7600,부산 동래구 충렬대로 467,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
거인병원,정형외과,0507-1364-7011,"부산 동래구 여고로 12 지하1, 지상3~10층","09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 20:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
사랑이넘치는의원,피부과,051-501-3775,부산 동래구 아시아드대로 226 온천메디칼빌딩 4층,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
베스트이비인후과의원,이비인후과,0507-1405-0174,부산 동래구 충렬대로 259 3층,"09:00 - 19:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간
접기","09:00 - 19:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
미남제일한의원,한의원,051-553-0365,부산 동래구 우장춘로 7 보민빌딩 3층 미남제일한의원,"09:30 - 20:30
13:00 - 14:30 휴게시간
12:30, 20:00 접수마감",,"09:30 - 20:30
13:00 - 14:30 휴게시간
12:30, 20:00 접수마감","09:30 - 20:30
13:00 - 14:30 휴게시간
12:30, 20:00 접수마감
접기","09:30 - 20:30
13:00 - 14:30 휴게시간
12:30, 20:00 접수마감","09:30 - 14:30
14:00 접수마감","09:30 - 14:30
14:00 접수마감",,,
우기현내과의원,내과,051-969-9988,부산 동래구 동래로 25 이즈메디컬 202호,"09:00 - 18:00
12:00 - 13:00 휴게시간",,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",09:00 - 13:00,정보없음,,,
동래리더스치과의원,치과,051-552-2802,부산 동래구 우장춘로 7 11층,,,"09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간","09:30 - 18:30
13:00 - 14:30 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
동래로덴치과병원,치과,0507-1447-2875,부산 동래구 충렬대로237번길 3 로덴빌딩 7~10층,09:30 - 18:30,,09:30 - 18:30,09:30 - 21:00,09:30 - 18:30,09:30 - 14:00,정기휴무 (매주 일요일),,,
하늘별 소아청소년과 의원,소아청소년과,0507-1304-2205,부산 동래구 우장춘로 7 보민빌딩 602호,,,,,,,,,,
맑은누리한의원,한의원,0507-1404-0013,부산 동래구 충렬대로237번길 23 한의빌딩 1~3층,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 16:00,정기휴무 (매주 일요일),,,
사직정형외과의원,정형외과,051-502-8275,부산 동래구 사직북로 18 대성빌딩,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
장민혁이비인후과의원,이비인후과,051-502-7934,부산 동래구 사직북로 21,"09:00 - 18:00
13:00 - 14:30 휴게시간",,"09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 18:00
13:00 - 14:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
고운피부과의원,피부과,051-558-9001,부산 동래구 동래로 25,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","14:00 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
삼성스마트신경과의원 신경과전문의,신경과,051-558-5898,부산 동래구 중앙대로 1523 상가동 2층,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",08:30 - 13:00,정기휴무 (매주 일요일),,,
아이나래소아청소년과의원,소아청소년과,051-552-1030,부산 동래구 시실로24번길 5 201호,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
메리놀피부과의원,피부과,051-556-1739,부산 동래구 온천장로 77,"09:30 - 18:30
13:00 - 14:00 휴게시간",,14:00 - 18:30,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
삼성서울내과의원,내과,0507-1435-8822,부산 동래구 사직로70번길 76,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 17:00
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:30,정기휴무 (매주 일요일),,,
이민호이비인후과의원,이비인후과,051-504-8778,부산 동래구 사직북로 25-1,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),09:00 - 18:00,13:00 - 14:00 ,
서현철정형외과의원,정형외과,051-522-0300,부산 동래구 충렬대로 469,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
부산항운병원,외과,051-580-2700,부산 동래구 충렬대로348번길 1,"09:00 - 17:00
12:30 - 13:30 휴게시간",,"09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간","09:00 - 17:00
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
큰길마취통증의학과의원,마취통증의학과,051-805-7571,부산 동래구 아시아드대로 226,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정보없음,,,
황금손한방병원 부산,한방병원,0507-1317-7738,"부산 동래구 중앙대로 1325 이센타워 2층, 4층, 5층","09:30 - 20:30
13:00 - 14:00 휴게시간
12:00, 19:30 접수마감",,"09:30 - 20:30
13:00 - 14:00 휴게시간
12:00, 19:30 접수마감","09:30 - 20:30
13:00 - 14:00 휴게시간
12:00, 19:30 접수마감","09:30 - 20:30
13:00 - 14:00 휴게시간
12:00, 19:30 접수마감","09:30 - 13:00
12:00 접수마감",정기휴무 (매주 일요일),,,
바로이비인후과의원,이비인후과,051-555-7585,부산 동래구 우장춘로 7 보민빌딩 8층 802호,"09:00 - 19:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
동래준피부과의원,피부과,0507-1402-0766,부산 동래구 충렬대로 239 수안 메디칼센터 8~9F,"09:30 - 19:00
12:30 - 14:00 휴게시간",,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 12:00,정기휴무 (매주 일요일),,,
마음의정원 정신건강의학과의원,정신건강의학과,051-711-7102,부산 동래구 충렬대로 152 3층 마음의정원 정신건강의학과의원,"10:00 - 19:00
13:00 - 14:00 휴게시간",,14:00 - 20:00,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
미담한의원 동래,한의원,0507-1310-7275,부산 동래구 명륜로 79 미담한의원 동래,"09:00 - 21:00
12:30 - 14:00 휴게시간
20:30 접수마감",,"09:00 - 21:00
12:30 - 14:00 휴게시간
20:30 접수마감","09:00 - 21:00
12:30 - 14:00 휴게시간
20:30 접수마감","09:00 - 21:00
12:30 - 14:00 휴게시간
20:30 접수마감","09:00 - 17:00
12:30 - 14:00 휴게시간
16:30 접수마감","09:00 - 13:00
12:30 접수마감",,,
안락성모안과의원,안과,051-525-5656,부산 동래구 충렬대로 353 4층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
더나은마취통증의학과의원,정형외과,0507-1315-7553,부산 동래구 사직북로 4,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
본베베여성의원,산부인과,0507-1408-6083,"부산 동래구 중앙대로 1523 SK허브스카이 상가B동 4층 401, 402, 403호","09:15 - 19:30
12:30 - 14:00 휴게시간
17:00 - 17:30 휴게시간","09:15 - 19:30
12:30 - 14:00 휴게시간
17:00 - 17:30 휴게시간","09:15 - 19:30
12:30 - 14:00 휴게시간
17:00 - 17:30 휴게시간","09:15 - 12:30
접기","09:15 - 19:30
12:30 - 14:00 휴게시간
17:00 - 17:30 휴게시간","09:15 - 15:00
12:30 - 14:00 휴게시간",정기휴무 (매주 일요일),09:15 - 19:30,12:30 - 14:00 ,
지동하이비인후과의원,이비인후과,051-555-0655,부산 동래구 충렬대로 239 수안 메디칼센터,09:30 - 18:00,09:30 - 18:00,14:00 - 18:00,"09:30 - 18:00
접기",09:30 - 18:00,09:30 - 12:30,정보없음,09:30 - 18:00,,
바룸내과의원,내과,0507-1353-5608,부산 동래구 금강공원로 2 온천장 SK HUB olive,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
한마음정신건강의학과의원,정신건강의학과,051-504-3131,부산 동래구 충렬대로 117,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간",14:00 - 18:30,"09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 12:30,정기휴무 (매주 일요일),,,
김지환내과의원,내과,051-710-0900,부산 동래구 명륜로 161 4층,"09:00 - 17:30
12:30 - 13:30 휴게시간",,"09:00 - 17:30
12:30 - 13:30 휴게시간",09:00 - 13:00,"09:00 - 17:30
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
서울리더스정형외과의원,정형외과,0507-1463-7591,부산 동래구 사직북로 7 5층,"09:00 - 20:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 20:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
류마앤내과의원,내과,051-924-1000,부산 동래구 충렬대로 259 동호 디시티 4층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 20:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
예일신경외과의원,신경외과,051-501-2445,부산 동래구 아시아드대로 191 사직동예일빌딩,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 13:00,정기휴무 (매주 일요일),,,
맘편한정신건강의학과의원,정신건강의학과,0507-1365-5330,부산 동래구 명륜로 90,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",14:00 - 20:00,"09:30 - 18:30
13:00 - 14:00 휴게시간
접기","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),09:30 - 18:30,13:00 - 14:00 ,
한빛내과의원,내과,051-505-9922,부산 동래구 아시아드대로 234 오피스텔동 206호,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정보없음,09:00 - 18:00,13:00 - 14:00 ,
한봉수이비인후과의원,이비인후과,051-504-4800,부산 동래구 아시아드대로 221,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
김지연산부인과의원,산부인과,051-529-9167,부산 동래구 충렬대로 252,"09:30 - 17:00
13:00 - 14:30 휴게시간",,"09:30 - 17:00
13:00 - 14:30 휴게시간","09:30 - 17:00
13:00 - 14:30 휴게시간","09:30 - 17:00
13:00 - 14:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
에코이비인후과의원,이비인후과,051-504-0119,부산 동래구 사직북로 24,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
마더즈의원,외과,051-552-0521,부산 동래구 충렬대로 222,"09:00 - 17:30
12:30 - 13:30 휴게시간",,"09:00 - 17:30
12:30 - 13:30 휴게시간","09:00 - 17:30
12:30 - 13:30 휴게시간","09:00 - 17:30
12:30 - 13:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
연세삼성내과의원,내과,051-524-7582,부산 동래구 명안로85번길 52,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,09:00 - 13:00,,,
새길내과의원,내과,051-553-1088,부산 동래구 금강공원로 11 3층 온천메디플러스,08:30 - 18:00,08:30 - 18:00,08:30 - 18:00,"08:30 - 18:00
접기",08:30 - 18:00,08:30 - 13:00,정기휴무 (매주 일요일),08:30 - 18:00,,
리네이처의원,피부과,051-717-0210,부산 동래구 사직북로 21 3층,"09:30 - 19:00
12:30 - 14:00 휴게시간",,09:30 - 12:30,"09:30 - 20:30
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),,,
메가마취통증의학과의원,정형외과,051-715-0041,부산 동래구 충렬대로 197 메가마트 동래점 2층,"09:00 - 19:00
13:00 - 14:30 휴게시간",,"09:00 - 19:00
13:00 - 14:30 휴게시간",09:00 - 13:00,"09:00 - 19:00
13:00 - 14:30 휴게시간",09:00 - 14:00,"09:00 - 17:00
13:00 - 14:00 휴게시간",,,
파크피부과의원,피부과,051-505-4564,부산 동래구 아시아드대로 186,"10:00 - 19:00
13:00 - 14:00 휴게시간",,14:00 - 20:00,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),,,
서울늘봄안과의원,안과,0507-1321-7880,부산 동래구 중앙대로 1523 sk스카이허브 2층,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
코아이비인후과의원,이비인후과,051-525-7500,부산 동래구 명안로85번길 52 명장랜드마크 7층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),,,
아름다운오늘안철현피부과의원,피부과,051-555-0035,부산 동래구 중앙대로 1325,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간","09:30 - 18:00
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),,,
서울넘버원신경외과의원,정형외과,0507-1447-7009,부산 동래구 온천장로 75 4층,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),,,
오즈어린이치과의원 동래점,치과,051-552-1275,부산 동래구 충렬대로137번길 4,"09:00 - 18:30
12:30 - 14:00 휴게시간",,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 15:00,정기휴무 (매주 일요일),,,
박준석비뇨기과의원,비뇨의학과,0507-1418-6263,부산 동래구 사직북로 21,09:30 - 18:30,,09:30 - 18:00,09:30 - 18:30,09:30 - 18:30,09:30 - 13:00,정기휴무 (매주 일요일),,,
