name,type,phone,address,월,화,수,목,금,토,일,holiday
강서연합의원,"병원,의원",0507-1346-7170,부산 강서구 대저로 266 1층,08:00 - 18:00,,08:00 - 18:00,08:00 - 18:00,08:00 - 18:00,08:00 - 13:00,정기휴무 (매주 일요일),
신호원치과의원,치과,051-989-9111,부산 강서구 신호산단2로 21,"10:00 - 20:00
13:00 - 14:00 휴게시간
17:30 - 18:00 휴게시간",,"10:00 - 18:00
13:00 - 14:00 휴게시간","10:00 - 20:00
13:00 - 14:00 휴게시간
17:30 - 18:00 휴게시간","10:00 - 18:00
13:00 - 14:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),
신호부부한의원,한의원,0507-1488-3637,부산 강서구 신호산단2로 33 골든뷰 2층,"09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감",,"09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감","09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감","09:30 - 20:00
13:00 - 14:30 휴게시간
19:40 접수마감","09:30 - 15:00
14:40 접수마감",정기휴무 (매주 일요일),
서울편한내과의원,내과,0507-1493-6622,부산 강서구 대저로 254,"09:00 - 18:00
13:00 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),
리더스치과의원,치과,0507-1425-2882,부산 강서구 명지국제8로 254,"10:00 - 19:00
13:00 - 14:30 휴게시간",,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 20:30
13:00 - 14:30 휴게시간
17:00 - 17:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),
마음에 청진기 가정의학과의원,가정의학과,051-293-0375,부산 강서구 명지국제8로 243 미주프라자 302호,10:00 - 19:00,,10:00 - 19:00,10:00 - 20:00,10:00 - 18:00,10:00 - 14:00,정기휴무 (매주 일요일),
명지치과의원,치과,051-271-2842,부산 강서구 명지오션시티4로 61 이건빌딩 301호,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 20:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),
해바라기치과의원,치과,051-271-7751,부산 강서구 명지오션시티4로 67,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),
다온한의원,한의원,0507-1359-1075,부산 강서구 명지국제8로 251 302호 다온한의원,"09:30 - 21:00
12:30 - 14:00 휴게시간",,"09:30 - 21:00
12:30 - 14:00 휴게시간","09:30 - 21:00
12:30 - 14:00 휴게시간
접기","09:30 - 21:00
12:30 - 14:00 휴게시간",09:30 - 14:30,09:30 - 14:30,
기분좋은치과의원,치과,051-271-7755,부산 강서구 명지오션시티4로 62,09:30 - 20:00,,09:30 - 18:30,09:30 - 20:00,09:30 - 18:30,09:30 - 13:30,정기휴무 (매주 일요일),
명지침례의원,내과,051-271-3227,부산 강서구 명지새동네길1번길 32,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),
연세이편한치과의원,치과,051-990-0040,부산 강서구 명지국제6로 168 명지 스타필드시티 4층,정기휴무 (매주 월요일),,"10:00 - 18:30
13:30 - 15:00 휴게시간","10:00 - 18:30
13:30 - 15:00 휴게시간
접기","10:00 - 18:30
13:30 - 15:00 휴게시간","10:00 - 17:00
13:30 - 15:00 휴게시간","10:00 - 17:00
13:30 - 15:00 휴게시간",
남경의원,내과,051-973-8575,부산 강서구 공항앞길 5,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),
애플민트치과의원,치과,051-271-8808,부산 강서구 명지오션시티4로 64,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:00 - 15:00,정기휴무 (매주 일요일),
강서하늘치과의원,치과,051-832-2875,부산 강서구 공항로811번가길 56,"10:00 - 19:00
13:00 - 14:30 휴게시간",,"10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간","10:00 - 19:00
13:00 - 14:30 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),
인제대학교부산백병원부설김해국제공항의원,"병원,의원",051-974-2888,부산 강서구 공항진입로 108 김해국제공항국내선청사 1F,09:00 - 17:00,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),
지사보건진료소,보건진료소,051-970-2980,부산 강서구 과학산단2로20번길 5,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,
최치과의원,치과,051-271-2875,부산 강서구 명지새동네길1번길 32,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간","09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 12:30,정기휴무 (매주 일요일),
명지튼튼한의원,한의원,051-503-8818,부산 강서구 명지오션시티4로 70,"09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감",,"09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감","14:00 - 19:00
18:10 접수마감","09:30 - 19:00
12:30 - 14:00 휴게시간
18:10 접수마감","09:30 - 14:00
13:10 접수마감",정기휴무 (매주 일요일),
신호한의원,한의원,051-941-8275,부산 강서구 신호산단2로 21,"10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감",,"10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","10:00 - 20:30
13:00 - 14:00 휴게시간
20:00 접수마감","10:00 - 19:30
13:00 - 14:00 휴게시간
19:00 접수마감","10:00 - 15:00
14:30 접수마감",정기휴무 (매주 일요일),
부산교도소부속의원,내과,051-9710-1572,부산 강서구 대저중앙로29번길 62 부산교도소부속의원,,,,,,,,
다온치과의원,치과,051-831-2875,부산 강서구 범방3로46번길 13 3층 다온치과,08:30 - 18:30,08:30 - 18:30,08:30 - 18:30,"08:30 - 18:30
접기",08:30 - 18:30,09:00 - 13:00,정기휴무 (매주 일요일),
강동보건지소,보건지소,051-970-4795,부산 강서구 낙동북로102번길 76 강동보건지소,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,
대저치과의원,치과,051-971-2875,부산 강서구 대저로 276,"09:30 - 18:30
12:30 - 14:00 휴게시간",,"09:30 - 18:30
12:30 - 14:00 휴게시간",14:00 - 18:30,"09:30 - 18:30
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),
활인한의원,한의원,051-973-9737,부산 강서구 공항로811번길 43,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간
접기","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),
르노코리아자동차부속의원,내과,051-979-9089,부산 강서구 르노삼성대로 61,,,,,,,,
한빛한의원,한의원,051-206-1075,부산 강서구 명지오션시티4로 62 파빌리온빌딩 3층,"09:30 - 19:00
12:30 - 14:00 휴게시간",,"09:30 - 19:00
12:30 - 14:00 휴게시간",14:00 - 19:00,"09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),
강서요양병원,요양병원,051-941-1002,부산 강서구 공항로811번길 1,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 13:00,정기휴무 (매주 일요일),
삼성전기부속의원,가정의학과,051-970-9123,부산 강서구 녹산산업중로 333,,,,,,,,
천가보건지소,보건지소,051-970-4797,부산 강서구 성북1길 70-1,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,
태안한의원,한의원,051-941-7575,부산 강서구 대저로274번길 15,"09:30 - 18:30
13:00 - 14:00 휴게시간",,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 13:00
접기","09:30 - 18:30
13:00 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),
대한항공김해부속의원,내과,051-970-5182,부산 강서구 공항진입로42번길 54,,,,,,,,
강서구보건소 보건행정계,보건소,051-970-3411,부산 강서구 공항로811번가길 36,,,,,,,,
강서구보건소 민원실,보건소,051-970-3445,부산 강서구 공항로811번가길 36,,,,,,,,
강서보건소 감염병관리계,보건소,051-970-2926,부산 강서구 공항로811번길 10,,,,,,,,
대저한의원,한의원,No phone number available,부산 강서구 대저로 285,,,,,,,,
용마루한의원,한의원,051-624-7575,부산 강서구 낙동남로 1042,"09:00 - 18:00
12:30 - 14:00 휴게시간",,"09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간","09:00 - 18:00
12:30 - 14:00 휴게시간",09:00 - 17:00,정기휴무 (매주 일요일),
이치과의원,치과,051-971-2871,부산 강서구 낙동북로 74,"09:30 - 18:30
12:30 - 13:30 휴게시간",,"09:30 - 18:30
12:30 - 13:30 휴게시간",14:00 - 18:30,"09:30 - 18:30
12:30 - 13:30 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),
가락보건지소,보건지소,051-970-4798,부산 강서구 가락대로 1476 가락동 주민센터,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,"09:00 - 18:00
접기",09:00 - 18:00,정보없음,정보없음,
강서구보건소 건강증진계,보건소,051-970-3481,부산 강서구 공항로811번가길 36,,,,,,,,
가락동마을건강센터,병원부속시설,No phone number available,부산 강서구 가락대로 1476 가락동 주민센터,,,,,,,,
천성보건진료소,보건진료소,051-971-7623,부산 강서구 가덕해안로821번길 100 천성보건진료소,"09:00 - 18:00
12:00 - 13:00 휴게시간",,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간",정기휴무 (매주 토요일),정기휴무 (매주 일요일),
대항보건진료소,보건진료소,051-972-7335,부산 강서구 가덕해안로1208번가길 9 대항보건진료소,,,,,,,,
강서구보건소 가족보건계,보건소,051-970-3421,부산 강서구 공항로811번가길 36,,,,,,,,
비움환 원외탕전,병원부속시설,0507-1376-5104,부산 강서구 대저중앙로172번길 20,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,정기휴무 (매주 토요일),정기휴무 (매주 일요일),
부산강서구보건소 선별진료소,선별진료소,051-970-3415,부산 강서구 공항로811번길 10,"09:00 - 18:00
12:00 - 13:00 휴게시간",,"09:00 - 18:00
12:00 - 13:00 휴게시간","09:00 - 18:00
12:00 - 13:00 휴게시간
접기","09:00 - 18:00
12:00 - 13:00 휴게시간",09:00 - 13:00,09:00 - 13:00,
코로나19검사센터,병원부속시설,No phone number available,부산 강서구 공항진입로 108,,,,,,,,
강서구보건소 예방의학계,보건소,051-970-3433,부산 강서구 공항로811번가길 36,,,,,,,,
갑을녹산병원 선별진료소,선별진료소,051-974-8449,부산 강서구 녹산산단321로 24-8,08:30 - 17:30,,08:30 - 17:30,08:30 - 17:30,08:30 - 17:30,08:30 - 12:30,정기휴무 (매주 일요일),
더프라임병원,산부인과,055-328-0059,경남 김해시 경원로55번길 12,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 13:00,09:30 - 12:30,
부산본병원,"병원,의원",1599-8275,부산 사하구 승학로 8,,,,,,,,
희망병원,"병원,의원",055-552-7582,경남 창원시 진해구 용원로 15 희망병원,,,,,,,,
열린이비인후과의원,이비인후과,051-334-8899,부산 북구 백양대로 1202 4층 열린이비인후과,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),
미래로병원,산부인과,051-330-5000,부산 북구 금곡대로 15,,,,,,,,
아름다운피부과의원,피부과,055-322-6300,경남 김해시 가락로 23 김밥천국,"09:05 - 17:45
12:30 - 14:00 휴게시간","09:05 - 17:45
12:30 - 14:00 휴게시간","09:05 - 17:45
12:30 - 14:00 휴게시간","09:05 - 17:45
12:30 - 14:00 휴게시간
접기","09:05 - 17:45
12:30 - 14:00 휴게시간","08:40 - 15:00
12:40 - 13:30 휴게시간",정기휴무 (매주 일요일),
미래아이여성병원,산부인과,051-200-9999,부산 사하구 낙동남로 1388,,,,,,,,
에스피부과의원,피부과,055-337-7582,경남 김해시 내외중앙로 84 서울메디컬센터 6층,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),
의료법인숭인의료재단 김해복음병원,종합병원,055-330-8888,경남 김해시 활천로 33 김해복음병원,,,,,,,,
삼성내과엠알영상의학과의원,내과,051-208-5566,부산 사하구 낙동남로 1392,"08:00 - 18:30
13:00 - 14:00 휴게시간",,"08:00 - 18:30
13:00 - 14:00 휴게시간","08:00 - 18:30
13:00 - 14:00 휴게시간","08:00 - 18:30
13:00 - 14:00 휴게시간",08:00 - 13:00,정기휴무 (매주 일요일),
사상미사랑피부과의원,피부과,051-326-7582,부산 사상구 사상로 200,"10:00 - 18:30
13:00 - 14:00 휴게시간",,14:00 - 18:30,"10:00 - 18:30
13:00 - 14:00 휴게시간","10:00 - 18:30
13:00 - 14:00 휴게시간",10:00 - 14:00,정기휴무 (매주 일요일),
큐병원,"병원,의원",051-207-4343,부산 사하구 낙동남로 1401,,,,,,,,
경희대학교 교육협력 중앙병원,종합병원,1577-9116,경남 김해시 분성로 94-8,,,,,,,,
올리브피부과의원,피부과,0507-1406-3344,부산 북구 만덕대로27번길 3 세빈빌딩 6층,"09:30 - 19:00
13:00 - 14:00 휴게시간",,"09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간","09:30 - 19:00
13:00 - 14:00 휴게시간",09:30 - 14:30,정기휴무 (매주 일요일),
아이사랑병원,소아청소년과,055-325-5775,경남 김해시 활천로 22 아이사랑병원,"09:00 - 21:00
12:30 - 14:00 휴게시간",,"09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 21:00
12:30 - 14:00 휴게시간
접기","09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 17:00
12:30 - 14:00 휴게시간",09:00 - 12:00,
서울이비인후과의원,이비인후과,055-336-0660,경남 김해시 내외중앙로 84 서울메디컬센터 10층,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),
엘리트치과병원,치과,051-322-2875,부산 사상구 가야대로 276,"09:30 - 20:00
12:30 - 14:00 휴게시간",,"09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 20:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:00,정기휴무 (매주 일요일),
자기치아살리기365일야간드림플란트치과병원,치과,055-325-7528,경남 김해시 김해대로 2361,"09:00 - 21:00
12:30 - 14:00 휴게시간",,"09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 21:00
12:30 - 14:00 휴게시간
접기","09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 21:00
12:30 - 14:00 휴게시간","09:00 - 21:00
12:30 - 14:00 휴게시간",
