병원종류,병원이름,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
치과,닥터안치과의원,0507-1465-1067,부산 남구 용주로6번길 30 2층,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감",,"09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 19:00
13:00 - 14:30 휴게시간
18:30 접수마감","09:30 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),"09:30 - 19:00

09:30 - 19:00
09:30 - 19:00
09:30 - 19:00
09:30 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,12:30,매주 일요일
보건소,남구보건소,051-607-6460,부산 남구 못골로 23,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,정보없음,정보없음,"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
정보없음
정보없음",,,
소아청소년과,코끼리소아청소년과의원,051-633-8200,부산 남구 진남로127번길 8,"09:00 - 18:00
12:30 - 14:00 휴게시간",,14:00 - 18:00,"09:00 - 18:00
12:30 - 14:00 휴게시간",,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

14:00 - 18:00
09:00 - 18:00

09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
종합병원,부산성모병원,051-933-7114,부산 남구 용호로232번길 25-14 부산성모병원,"08:30 - 17:30
12:30 - 13:30 휴게시간",,"08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간","08:30 - 17:30
12:30 - 13:30 휴게시간",08:30 - 12:30,정기휴무 (매주 일요일),"08:30 - 17:30

08:30 - 17:30
08:30 - 17:30
08:30 - 17:30
08:30 - 12:30
정기휴무 (매주 일요일)",12:30 - 13:30 ,,매주 일요일
소아청소년과,부산아동병원,051-612-7582,부산 남구 수영로 228,"09:30 - 20:00
13:00 - 14:00 휴게시간",,"09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간","09:30 - 20:00
13:00 - 14:00 휴게시간",09:30 - 13:00,09:30 - 13:00,"09:30 - 20:00

09:30 - 20:00
09:30 - 20:00
09:30 - 20:00
09:30 - 13:00
09:30 - 13:00",13:00 - 14:00 ,,
내과,진내과의원,051-627-0360,부산 남구 수영로 340 2층,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
12:45, 17:45 접수마감","09:00 - 13:00
12:45 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,12:45,매주 일요일
피부과,클린앤뷰티의원,0507-1329-7746,부산 남구 수영로 304 대승타워 5층,10:00 - 20:00,,10:00 - 20:00,10:00 - 18:30,10:00 - 20:00,10:00 - 15:30,정기휴무 (매주 일요일),"10:00 - 20:00

10:00 - 20:00
10:00 - 18:30
10:00 - 20:00
10:00 - 15:30
정기휴무 (매주 일요일)",,,매주 일요일
내과,세종의원,051-642-9977,부산 남구 수영로 30-1,09:00 - 20:00,,09:00 - 20:00,"09:00 - 20:00
접기",09:00 - 20:00,09:00 - 16:00,09:00 - 13:00,"09:00 - 20:00

09:00 - 20:00
09:00 - 20:00
09:00 - 20:00
09:00 - 16:00
09:00 - 13:00",,,
소아청소년과,김계영내과소아청소년과의원,051-627-7000,부산 남구 수영로 252 김계영내과,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
가정의학과,아산김의원,051-626-8835,부산 남구 황령대로319번가길 158-4,,,09:00 - 12:30,"09:00 - 18:30
12:30 - 13:30 휴게시간",,,,"

09:00 - 12:30
09:00 - 18:30


",,,
한의원,소생한의원,0507-1480-1041,부산 남구 용호로 127 서현빌딩 1층 소생한의원,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
정신건강의학과,편한숲 정신건강의학과 의원,0507-1321-0241,부산 남구 수영로 323 403호,"09:30 - 18:30
13:00 - 14:00 휴게시간",,14:00 - 20:00,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:30

14:00 - 20:00
09:30 - 18:30
09:30 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
이비인후과,코앤핑이비인후과의원,0507-1394-1003,부산 남구 못골로 87 2층,"08:30 - 18:30
13:00 - 14:00 휴게시간",,"08:30 - 18:30
13:00 - 14:00 휴게시간","08:30 - 18:30
13:00 - 14:00 휴게시간","08:30 - 20:00
13:00 - 14:00 휴게시간",08:30 - 14:00,09:00 - 13:00,"08:30 - 18:30

08:30 - 18:30
08:30 - 18:30
08:30 - 20:00
08:30 - 14:00
09:00 - 13:00",13:00 - 14:00 ,,
이비인후과,명이비인후과의원,051-612-7119,부산 남구 못골로12번길 84,"09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감",,"09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감","14:00 - 17:30
17:00 접수마감","09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감","09:00 - 12:30
12:00 접수마감",정기휴무 (매주 일요일),"09:00 - 17:30

09:00 - 17:30
14:00 - 17:30
09:00 - 17:30
09:00 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,17:00,매주 일요일
피부과,킴스피부과의원 대연,0507-1449-0041,부산 남구 수영로 297 대영BD 9층,"10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",,"14:00 - 18:30
18:00 접수마감","10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:30 - 13:30
13:00 접수마감",정기휴무 (매주 일요일),"10:00 - 18:30

14:00 - 18:30
10:00 - 18:30
10:00 - 18:30
09:30 - 13:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,18:00,매주 일요일
이비인후과,수미지이비인후과의원,0507-1412-8058,부산 남구 수영로 304 대승타워 8층,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감",,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:00 - 13:00
12:50 접수마감",정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,12:50,매주 일요일
소아청소년과,최정화소아청소년과의원,051-612-1275,부산 남구 분포로 111 분산 1상가 2층,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",14:00 - 18:00,"09:30 - 18:00
12:30 - 14:00 휴게시간
접기","09:30 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00
09:30 - 18:00
14:00 - 18:00
09:30 - 18:00
09:30 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
소아청소년과,김성미소아청소년과의원,0507-1442-2054,부산 남구 분포로 115 B동 2층,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:00 - 14:00
13:00 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,13:00,매주 일요일
내과,굿모닝내과의원,0507-1407-7581,부산 남구 분포로 111 엘지메트로시티아파트,08:30 - 18:00,,08:30 - 13:00,08:30 - 18:00,08:30 - 18:00,08:30 - 13:00,정기휴무 (매주 일요일),"08:30 - 18:00

08:30 - 13:00
08:30 - 18:00
08:30 - 18:00
08:30 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
이비인후과,맑은솔이비인후과의원,0507-1446-4789,부산 남구 수영로 260 남천메디컬 2층 맑은솔이비인후과,"09:00 - 18:40
13:00 - 14:00 휴게시간",,"09:00 - 18:40
13:00 - 14:00 휴게시간","09:00 - 18:40
13:00 - 14:00 휴게시간","09:00 - 18:40
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:40

09:00 - 18:40
09:00 - 18:40
09:00 - 18:40
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
이비인후과,조영이비인후과의원,051-612-3119,부산 남구 분포로 111 엘지메트로시티아파트,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
내과,늘편한내과의원,051-621-0119,부산 남구 진남로 4 3층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
피부과,대연 류 피부과 의원,0507-1354-0630,부산 남구 수영로 240-1 이지스퀘어빌딩 2층,,,"09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 15:00,정기휴무 (매주 일요일),"

09:30 - 19:00
09:30 - 19:00
09:30 - 19:00
09:30 - 15:00
정기휴무 (매주 일요일)",,,매주 일요일
피부과,뷰에르의원,051-621-1300,부산 남구 분포로 145 제스퀘어동 2108호,14:00 - 19:00,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 21:00
13:00 - 14:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),"14:00 - 19:00

10:00 - 19:00
10:00 - 19:00
10:00 - 21:00
10:00 - 15:00
정기휴무 (매주 일요일)",,,매주 일요일
내과,대한결핵협회부산광역시지부복십자의원,051-611-3622,부산 남구 수영로 299 4층,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 17:30

09:00 - 17:30
09:00 - 17:30
09:00 - 17:30
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",12:30 - 13:30 ,,매주 토요일
정신건강의학과,박지훈정신건강의학과의원,0507-1329-2525,부산 남구 수영로 330 3층 박지훈 정신건강의학과의원,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
안과,바른눈안과,051-611-4455,부산 남구 수영로 297,"09:00 - 16:00
15:30 접수마감",,"09:00 - 16:00
15:30 접수마감","09:00 - 16:00
15:30 접수마감",정기휴무 (매주 금요일),"09:00 - 11:00
10:30 접수마감",정기휴무 (매주 일요일),"09:00 - 16:00

09:00 - 16:00
09:00 - 16:00
정기휴무 (매주 금요일)
09:00 - 11:00
정기휴무 (매주 일요일)",15:30 접수마감,15:30,매주 금요일
산부인과,이화산부인과의원,051-628-9888,부산 남구 수영로 216-2,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 15:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 15:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
정형외과,큰나무정형외과의원,051-625-6119,부산 남구 용호로 54 대영빌딩,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",14:00 - 18:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
14:00 - 18:00
09:00 - 18:00
09:00 - 12:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
안과,메트로성모안과의원,051-714-3652,부산 남구 분포로 113 엘지메트로시티 주2상가 503호,"09:30 - 18:00
12:30 - 14:00 휴게시간",,14:00 - 18:00,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),"09:30 - 18:00

14:00 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
피부과,클라쎄피부과의원,0507-1418-7502,부산 남구 용호로 50,,,,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:30 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),"


09:30 - 18:30
09:30 - 18:30
09:30 - 13:00
정기휴무 (매주 일요일)",,12:30,매주 일요일
내과,이의원,051-633-2544,부산 남구 유엔로 10 뉴서울아파트,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 12:30,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 12:30
정기휴무 (매주 일요일)",,,매주 일요일
"병원,의원",미래의원,051-622-6100,부산 남구 수영로266번길 36,09:30 - 18:00,,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
한의원,남경한의원,051-621-1135,부산 남구 수영로 312 21세기센츄리시티건물,"09:30 - 18:00
12:30 - 13:30 휴게시간",,"09:30 - 18:00
12:30 - 13:30 휴게시간","09:30 - 18:00
12:30 - 13:30 휴게시간","09:30 - 18:00
12:30 - 13:30 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 14:00
정기휴무 (매주 일요일)",12:30 - 13:30 ,,매주 일요일
안과,대연성모안과,051-628-0700,부산 남구 수영로 198-1,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 12:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 12:00
정기휴무 (매주 일요일)",,,매주 일요일
내과,박현용내과의원,051-621-7105,부산 남구 용호로 141 부산은행 5층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
한의원,당봄한의원 부산점,051-637-1075,부산 남구 문현금융로 40 BIFC몰 230호,정기휴무 (매주 월요일),정기휴무 (매주 화요일),"10:00 - 19:00
14:00 - 15:00 휴게시간","10:00 - 19:00
14:00 - 15:00 휴게시간","10:00 - 19:00
14:00 - 15:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),"정기휴무 (매주 월요일)
정기휴무 (매주 화요일)
10:00 - 19:00
10:00 - 19:00
10:00 - 19:00
10:00 - 15:00
정기휴무 (매주 일요일)",,,매주 월요일
산부인과,길민경산부인과의원,051-621-2616,부산 남구 수영로 340,"09:30 - 17:30
13:00 - 14:00 휴게시간
12:20, 16:50 접수마감",,"14:00 - 17:30
16:50 접수마감","09:30 - 17:30
13:00 - 14:00 휴게시간
12:20, 16:50 접수마감","09:30 - 17:30
13:00 - 14:00 휴게시간
12:20, 16:50 접수마감",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:30 - 17:30

14:00 - 17:30
09:30 - 17:30
09:30 - 17:30
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",13:00 - 14:00 ,16:50,매주 토요일
정형외과,리본마취통증의학과의원,0507-1434-7578,부산 남구 수영로 323 2층 202호,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,,매주 일요일
정형외과,용호메트로마취통증의학과의원,051-923-9988,부산 남구 용호로 48,"09:00 - 19:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",09:00 - 14:00,09:00 - 14:00,"09:00 - 19:00

09:00 - 19:00
09:00 - 20:00
09:00 - 19:00
09:00 - 14:00
09:00 - 14:00",12:30 - 14:00 ,,
내과,우재곤내과의원,051-633-7740,부산 남구 수영로 21,"09:00 - 18:30
12:30 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 13:00
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
내과,우재곤내과의원,051-633-7740,부산 남구 수영로 21,"09:00 - 18:30
12:30 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 13:00
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,,매주 일요일
안과,참조은안과의원,051-717-0375,부산 남구 수영로 246,"09:00 - 18:00
13:00 - 14:30 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 18:00
13:00 - 14:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 13:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,,매주 일요일
한방병원,부산더존한방병원,051-791-0870,부산 남구 수영로 305 스파크빌딩 4층,"09:30 - 21:00
13:00 - 14:00 휴게시간",,"09:30 - 21:00
13:00 - 14:00 휴게시간","09:30 - 21:00
13:00 - 14:00 휴게시간","09:30 - 21:00
13:00 - 14:00 휴게시간","09:30 - 17:00
13:00 - 14:00 휴게시간","10:00 - 17:00
13:00 - 14:00 휴게시간","09:30 - 21:00

09:30 - 21:00
09:30 - 21:00
09:30 - 21:00
09:30 - 17:00
10:00 - 17:00",13:00 - 14:00 ,,
"병원,의원",더조은의원,051-865-9393,부산 남구 수영로 233 민석빌딩,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
정기휴무 (매주 일요일)",,,매주 일요일
