,병원이름,병원종류,전화번호,병원주소,월,화,수,목,금,토,일,영업시간,쉬는시간,접수마감,정기휴무
20,김계영내과소아청소년과의원,소아청소년과,051-627-7000,부산 남구 수영로 252 김계영내과,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
21,아산김의원,가정의학과,051-626-8835,부산 남구 황령대로319번가길 158-4,,,09:00 - 12:30,"09:00 - 18:30
12:30 - 13:30 휴게시간",,,,"

09:00 - 12:30
09:00 - 18:30


",,,
22,소생한의원,한의원,0507-1480-1041,부산 남구 용호로 127 서현빌딩 1층 소생한의원,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
23,편한숲 정신건강의학과 의원,정신건강의학과,0507-1321-0241,부산 남구 수영로 323 403호,"09:30 - 18:30
13:00 - 14:00 휴게시간",,14:00 - 20:00,"09:30 - 18:30
13:00 - 14:00 휴게시간","09:30 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:30

14:00 - 20:00
09:30 - 18:30
09:30 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
24,코앤핑이비인후과의원,이비인후과,0507-1394-1003,부산 남구 못골로 87 2층,"08:30 - 18:30
13:00 - 14:00 휴게시간",,"08:30 - 18:30
13:00 - 14:00 휴게시간","08:30 - 18:30
13:00 - 14:00 휴게시간","08:30 - 20:00
13:00 - 14:00 휴게시간",08:30 - 14:00,09:00 - 13:00,"08:30 - 18:30

08:30 - 18:30
08:30 - 18:30
08:30 - 20:00
08:30 - 14:00
09:00 - 13:00",13:00 - 14:00 ,,
25,명이비인후과의원,이비인후과,051-612-7119,부산 남구 못골로12번길 84,"09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감",,"09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감","14:00 - 17:30
17:00 접수마감","09:00 - 17:30
12:30 - 14:00 휴게시간
12:00, 17:00 접수마감","09:00 - 12:30
12:00 접수마감",정기휴무 (매주 일요일),"09:00 - 17:30

09:00 - 17:30
14:00 - 17:30
09:00 - 17:30
09:00 - 12:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,17:00, 일요일
26,킴스피부과의원 대연,피부과,0507-1449-0041,부산 남구 수영로 297 대영BD 9층,"10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감",,"14:00 - 18:30
18:00 접수마감","10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","10:00 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:30 - 13:30
13:00 접수마감",정기휴무 (매주 일요일),"10:00 - 18:30

14:00 - 18:30
10:00 - 18:30
10:00 - 18:30
09:30 - 13:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,18:00, 일요일
27,수미지이비인후과의원,이비인후과,0507-1412-8058,부산 남구 수영로 304 대승타워 8층,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감",,"09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:00 - 18:30
12:30 - 14:00 휴게시간
18:20 접수마감","09:00 - 13:00
12:50 접수마감",정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,12:50, 일요일
28,최정화소아청소년과의원,소아청소년과,051-612-1275,부산 남구 분포로 111 분산 1상가 2층,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",14:00 - 18:00,"09:30 - 18:00
12:30 - 14:00 휴게시간
접기","09:30 - 18:00
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00
09:30 - 18:00
14:00 - 18:00
09:30 - 18:00
09:30 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
29,김성미소아청소년과의원,소아청소년과,0507-1442-2054,부산 남구 분포로 115 B동 2층,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감",,"09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:00 - 18:00
13:00 - 14:00 휴게시간
17:00 접수마감","09:00 - 14:00
13:00 접수마감",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,13:00, 일요일
30,굿모닝내과의원,내과,0507-1407-7581,부산 남구 분포로 111 엘지메트로시티아파트,08:30 - 18:00,,08:30 - 13:00,08:30 - 18:00,08:30 - 18:00,08:30 - 13:00,정기휴무 (매주 일요일),"08:30 - 18:00

08:30 - 13:00
08:30 - 18:00
08:30 - 18:00
08:30 - 13:00
정기휴무 (매주 일요일)",,, 일요일
31,맑은솔이비인후과의원,이비인후과,0507-1446-4789,부산 남구 수영로 260 남천메디컬 2층 맑은솔이비인후과,"09:00 - 18:40
13:00 - 14:00 휴게시간",,"09:00 - 18:40
13:00 - 14:00 휴게시간","09:00 - 18:40
13:00 - 14:00 휴게시간","09:00 - 18:40
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:40

09:00 - 18:40
09:00 - 18:40
09:00 - 18:40
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
32,조영이비인후과의원,이비인후과,051-612-3119,부산 남구 분포로 111 엘지메트로시티아파트,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간
접기","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
33,늘편한내과의원,내과,051-621-0119,부산 남구 진남로 4 3층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
34,대연 류 피부과 의원,피부과,0507-1354-0630,부산 남구 수영로 240-1 이지스퀘어빌딩 2층,,,"09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간","09:30 - 19:00
12:30 - 14:00 휴게시간",09:30 - 15:00,정기휴무 (매주 일요일),"

09:30 - 19:00
09:30 - 19:00
09:30 - 19:00
09:30 - 15:00
정기휴무 (매주 일요일)",,, 일요일
35,뷰에르의원,피부과,051-621-1300,부산 남구 분포로 145 제스퀘어동 2108호,14:00 - 19:00,,"10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 19:00
13:00 - 14:00 휴게시간","10:00 - 21:00
13:00 - 14:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),"14:00 - 19:00

10:00 - 19:00
10:00 - 19:00
10:00 - 21:00
10:00 - 15:00
정기휴무 (매주 일요일)",,, 일요일
36,대한결핵협회부산광역시지부복십자의원,내과,051-611-3622,부산 남구 수영로 299 4층,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",,"09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감","09:00 - 17:30
12:30 - 13:30 휴게시간
12:00, 17:00 접수마감",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:00 - 17:30

09:00 - 17:30
09:00 - 17:30
09:00 - 17:30
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",12:30 - 13:30 ,, 토요일
37,박지훈정신건강의학과의원,정신건강의학과,0507-1329-2525,부산 남구 수영로 330 3층 박지훈 정신건강의학과의원,"09:00 - 18:30
13:00 - 14:00 휴게시간",,"09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간","09:00 - 18:30
13:00 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 18:30
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
38,바른눈안과,안과,051-611-4455,부산 남구 수영로 297,"09:00 - 16:00
15:30 접수마감",,"09:00 - 16:00
15:30 접수마감","09:00 - 16:00
15:30 접수마감",정기휴무 (매주 금요일),"09:00 - 11:00
10:30 접수마감",정기휴무 (매주 일요일),"09:00 - 16:00

09:00 - 16:00
09:00 - 16:00
정기휴무 (매주 금요일)
09:00 - 11:00
정기휴무 (매주 일요일)",15:30 접수마감,15:30, 금요일
39,이화산부인과의원,산부인과,051-628-9888,부산 남구 수영로 216-2,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 15:00
13:00 - 14:00 휴게시간",정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 15:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
40,큰나무정형외과의원,정형외과,051-625-6119,부산 남구 용호로 54 대영빌딩,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간",14:00 - 18:00,"09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 12:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
14:00 - 18:00
09:00 - 18:00
09:00 - 12:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
41,메트로성모안과의원,안과,051-714-3652,부산 남구 분포로 113 엘지메트로시티 주2상가 503호,"09:30 - 18:00
12:30 - 14:00 휴게시간",,14:00 - 18:00,"09:30 - 18:00
12:30 - 14:00 휴게시간","09:30 - 18:00
12:30 - 14:00 휴게시간",09:30 - 13:30,정기휴무 (매주 일요일),"09:30 - 18:00

14:00 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:30
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
42,클라쎄피부과의원,피부과,0507-1418-7502,부산 남구 용호로 50,,,,"09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:30 - 18:30
12:30 - 14:00 휴게시간
18:00 접수마감","09:30 - 13:00
12:30 접수마감",정기휴무 (매주 일요일),"


09:30 - 18:30
09:30 - 18:30
09:30 - 13:00
정기휴무 (매주 일요일)",,12:30, 일요일
43,이의원,내과,051-633-2544,부산 남구 유엔로 10 뉴서울아파트,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 12:30,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 12:30
정기휴무 (매주 일요일)",,, 일요일
44,미래의원,"병원,의원",051-622-6100,부산 남구 수영로266번길 36,09:30 - 18:00,,09:30 - 18:00,09:30 - 18:00,09:30 - 18:00,09:30 - 13:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 13:00
정기휴무 (매주 일요일)",,, 일요일
45,남경한의원,한의원,051-621-1135,부산 남구 수영로 312 21세기센츄리시티건물,"09:30 - 18:00
12:30 - 13:30 휴게시간",,"09:30 - 18:00
12:30 - 13:30 휴게시간","09:30 - 18:00
12:30 - 13:30 휴게시간","09:30 - 18:00
12:30 - 13:30 휴게시간",09:30 - 14:00,정기휴무 (매주 일요일),"09:30 - 18:00

09:30 - 18:00
09:30 - 18:00
09:30 - 18:00
09:30 - 14:00
정기휴무 (매주 일요일)",12:30 - 13:30 ,, 일요일
46,대연성모안과,안과,051-628-0700,부산 남구 수영로 198-1,09:00 - 18:00,,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 12:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 12:00
정기휴무 (매주 일요일)",,, 일요일
47,박현용내과의원,내과,051-621-7105,부산 남구 용호로 141 부산은행 5층,"09:00 - 18:00
13:00 - 14:00 휴게시간",,"09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간","09:00 - 18:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 18:00
09:00 - 18:00
09:00 - 18:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
48,당봄한의원 부산점,한의원,051-637-1075,부산 남구 문현금융로 40 BIFC몰 230호,정기휴무 (매주 월요일),정기휴무 (매주 화요일),"10:00 - 19:00
14:00 - 15:00 휴게시간","10:00 - 19:00
14:00 - 15:00 휴게시간","10:00 - 19:00
14:00 - 15:00 휴게시간",10:00 - 15:00,정기휴무 (매주 일요일),"정기휴무 (매주 월요일)
정기휴무 (매주 화요일)
10:00 - 19:00
10:00 - 19:00
10:00 - 19:00
10:00 - 15:00
정기휴무 (매주 일요일)",,, 월요일
49,길민경산부인과의원,산부인과,051-621-2616,부산 남구 수영로 340,"09:30 - 17:30
13:00 - 14:00 휴게시간
12:20, 16:50 접수마감",,"14:00 - 17:30
16:50 접수마감","09:30 - 17:30
13:00 - 14:00 휴게시간
12:20, 16:50 접수마감","09:30 - 17:30
13:00 - 14:00 휴게시간
12:20, 16:50 접수마감",정기휴무 (매주 토요일),정기휴무 (매주 일요일),"09:30 - 17:30

14:00 - 17:30
09:30 - 17:30
09:30 - 17:30
정기휴무 (매주 토요일)
정기휴무 (매주 일요일)",13:00 - 14:00 ,16:50, 토요일
50,리본마취통증의학과의원,정형외과,0507-1434-7578,부산 남구 수영로 323 2층 202호,"09:00 - 19:00
13:00 - 14:00 휴게시간",,"09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간","09:00 - 19:00
13:00 - 14:00 휴게시간",09:00 - 14:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 14:00
정기휴무 (매주 일요일)",13:00 - 14:00 ,, 일요일
51,용호메트로마취통증의학과의원,정형외과,051-923-9988,부산 남구 용호로 48,"09:00 - 19:00
12:30 - 14:00 휴게시간",,"09:00 - 19:00
12:30 - 14:00 휴게시간","09:00 - 20:00
12:30 - 14:00 휴게시간","09:00 - 19:00
12:30 - 14:00 휴게시간",09:00 - 14:00,09:00 - 14:00,"09:00 - 19:00

09:00 - 19:00
09:00 - 20:00
09:00 - 19:00
09:00 - 14:00
09:00 - 14:00",12:30 - 14:00 ,,
52,우재곤내과의원,내과,051-633-7740,부산 남구 수영로 21,"09:00 - 18:30
12:30 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 13:00
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
53,우재곤내과의원,내과,051-633-7740,부산 남구 수영로 21,"09:00 - 18:30
12:30 - 14:00 휴게시간",,09:00 - 13:00,"09:00 - 18:30
12:30 - 14:00 휴게시간","09:00 - 18:30
12:30 - 14:00 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:30

09:00 - 13:00
09:00 - 18:30
09:00 - 18:30
09:00 - 13:00
정기휴무 (매주 일요일)",12:30 - 14:00 ,, 일요일
54,참조은안과의원,안과,051-717-0375,부산 남구 수영로 246,"09:00 - 18:00
13:00 - 14:30 휴게시간",,09:00 - 13:00,"09:00 - 18:00
13:00 - 14:30 휴게시간","09:00 - 18:00
13:00 - 14:30 휴게시간",09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 18:00

09:00 - 13:00
09:00 - 18:00
09:00 - 18:00
09:00 - 13:00
정기휴무 (매주 일요일)",13:00 - 14:30 ,, 일요일
55,부산더존한방병원,한방병원,051-791-0870,부산 남구 수영로 305 스파크빌딩 4층,"09:30 - 21:00
13:00 - 14:00 휴게시간",,"09:30 - 21:00
13:00 - 14:00 휴게시간","09:30 - 21:00
13:00 - 14:00 휴게시간","09:30 - 21:00
13:00 - 14:00 휴게시간","09:30 - 17:00
13:00 - 14:00 휴게시간","10:00 - 17:00
13:00 - 14:00 휴게시간","09:30 - 21:00

09:30 - 21:00
09:30 - 21:00
09:30 - 21:00
09:30 - 17:00
10:00 - 17:00",13:00 - 14:00 ,,
56,더조은의원,"병원,의원",051-865-9393,부산 남구 수영로 233 민석빌딩,09:00 - 19:00,,09:00 - 19:00,09:00 - 19:00,09:00 - 19:00,09:00 - 13:00,정기휴무 (매주 일요일),"09:00 - 19:00

09:00 - 19:00
09:00 - 19:00
09:00 - 19:00
09:00 - 13:00
정기휴무 (매주 일요일)",,, 일요일
